INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT
11288	66	9级物群杀	STD_IMPACT_0044	1	11228	194	11288	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	10	目标类型（0自己，1对方）	1																																	
11289	66	10级物群杀	STD_IMPACT_0044	1	11229	195	11289	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	10	目标类型（0自己，1对方）	1																																	
11290	68	1级物群杀效果	靠	0	11230	136	11290	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	100	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	0	火伤害值	0	土伤害值	0																			
11291	68	2级物群杀效果	靠	0	11231	137	11291	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	200	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	0	火伤害值	0	土伤害值	0																			
11292	68	3级物群杀效果	靠	0	11232	138	11292	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	300	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	0	火伤害值	0	土伤害值	0																			
11293	68	4级物群杀效果	靠	0	11233	139	11293	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	400	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	0	火伤害值	0	土伤害值	0																			
11294	68	5级物群杀效果	靠	0	11234	140	11294	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	500	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	0	火伤害值	0	土伤害值	0																			
11295	68	6级物群杀效果	靠	0	11235	141	11295	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	600	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	0	火伤害值	0	土伤害值	0																			
11296	68	7级物群杀效果	靠	0	11236	142	11296	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	700	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	0	火伤害值	0	土伤害值	0																			
11297	68	8级物群杀效果	靠	0	11237	143	11297	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	800	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	0	火伤害值	0	土伤害值	0																			
11298	68	9级物群杀效果	靠	0	11238	144	11298	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	900	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	0	火伤害值	0	土伤害值	0																			
11299	68	10级物群杀效果	靠	0	11239	145	11299	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	1000	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	0	火伤害值	0	土伤害值	0																			
11300	66	1级魔群杀	STD_IMPACT_0044	1	11220	186	11300	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	10	目标类型（0自己，1对方）	1																																	
11301	66	2级魔群杀	STD_IMPACT_0044	1	11221	187	11301	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	10	目标类型（0自己，1对方）	1																																	
11302	66	3级魔群杀	STD_IMPACT_0044	1	11222	188	11302	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	10	目标类型（0自己，1对方）	1																																	
11303	66	4级魔群杀	STD_IMPACT_0044	1	11223	189	11303	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	10	目标类型（0自己，1对方）	1																																	
11304	66	5级魔群杀	STD_IMPACT_0044	1	11224	190	11304	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	10	目标类型（0自己，1对方）	1																																	
11305	66	6级魔群杀	STD_IMPACT_0044	1	11225	191	11305	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	10	目标类型（0自己，1对方）	1																																	
11306	66	7级魔群杀	STD_IMPACT_0044	1	11226	192	11306	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	10	目标类型（0自己，1对方）	1																																	
11307	66	8级魔群杀	STD_IMPACT_0044	1	11227	193	11307	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	10	目标类型（0自己，1对方）	1																																	
11308	66	9级魔群杀	STD_IMPACT_0044	1	11228	194	11308	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	10	目标类型（0自己，1对方）	1																																	
11309	66	10级魔群杀	STD_IMPACT_0044	1	11229	195	11309	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	10	目标类型（0自己，1对方）	1																																	
11310	68	1级魔群杀	靠	0	11230	136	11310	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	100	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	1	火伤害值	0	土伤害值	0																			
11311	68	2级魔群杀	靠	0	11231	137	11311	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	200	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	1	火伤害值	0	土伤害值	0																			
11312	68	3级魔群杀	靠	0	11232	138	11312	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	300	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	1	火伤害值	0	土伤害值	0																			
11313	68	4级魔群杀	靠	0	11233	139	11313	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	400	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	1	火伤害值	0	土伤害值	0																			
11314	68	5级魔群杀	靠	0	11234	140	11314	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	500	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	1	火伤害值	0	土伤害值	0																			
11315	68	6级魔群杀	靠	0	11235	141	11315	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	600	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	1	火伤害值	0	土伤害值	0																			
11316	68	7级魔群杀	靠	0	11236	142	11316	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	700	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	1	火伤害值	0	土伤害值	0																			
11317	68	8级魔群杀	靠	0	11237	143	11317	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	800	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	1	火伤害值	0	土伤害值	0																			
11318	68	9级魔群杀	靠	0	11238	144	11318	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	900	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	1	火伤害值	0	土伤害值	0																			
11319	68	10级魔群杀	靠	0	11239	145	11319	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	0	影响率（千分比）	1000	远程内功攻击伤害值	1	远程外功攻击值	0	近程外功攻击值	0	金伤害值	0	木伤害值	0	水伤害值	1	火伤害值	0	土伤害值	0																			
#	触发回复类	#	#	#	#	#	#			1																																																					
11320	71	1级回复效果	靠	1	11300	92	11320	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	50					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11321	71	2级回复效果	靠	1	11301	93	11321	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	100					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11322	71	3级回复效果	靠	1	11302	94	11322	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	150					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11323	71	4级回复效果	靠	1	11303	95	11323	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	200					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11324	71	5级回复效果	靠	1	11304	96	11324	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	250					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11325	71	6级回复效果	靠	1	11305	97	11325	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	300					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11326	71	7级回复效果	靠	1	11306	98	11326	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	350					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11327	71	8级回复效果	靠	1	11307	99	11327	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	400					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11328	71	9级回复效果	靠	1	11308	100	11328	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	450					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11329	71	10级回复效果	靠	1	11309	101	11329	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	500					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11330	66	1级回复buff	STD_IMPACT_0044	1	11310	186	11330	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11331	66	2级回复buff	STD_IMPACT_0044	1	11311	187	11331	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11332	66	3级回复buff	STD_IMPACT_0044	1	11312	188	11332	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11333	66	4级回复buff	STD_IMPACT_0044	1	11313	189	11333	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11334	66	5级回复buff	STD_IMPACT_0044	1	11314	190	11334	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11335	66	6级回复buff	STD_IMPACT_0044	1	11315	191	11335	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11336	66	7级回复buff	STD_IMPACT_0044	1	11316	192	11336	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11337	66	8级回复buff	STD_IMPACT_0044	1	11317	193	11337	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11338	66	9级回复buff	STD_IMPACT_0044	1	11318	194	11338	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11339	66	10级回复buff	STD_IMPACT_0044	1	11319	195	11339	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11340	67	1级增加HP上限效果	靠	1	11320	92	11340	1	0	1	1	0	0	0	0	0	0	20000	0	0	0	0	0	0	属性ID	6	马参与计算的参数，0力量，1敏捷，2智力，3体质	3	影响率（千分比）	50																																	
11341	67	2级增加HP上限效果	靠	1	11321	93	11341	1	0	1	1	0	0	0	0	0	0	20000	0	0	0	0	0	0	属性ID	6	马参与计算的参数，0力量，1敏捷，2智力，3体质	3	影响率（千分比）	100																																	
11342	67	3级增加HP上限效果	靠	1	11322	94	11342	1	0	1	1	0	0	0	0	0	0	20000	0	0	0	0	0	0	属性ID	6	马参与计算的参数，0力量，1敏捷，2智力，3体质	3	影响率（千分比）	150																																	
11343	67	4级增加HP上限效果	靠	1	11323	95	11343	1	0	1	1	0	0	0	0	0	0	20000	0	0	0	0	0	0	属性ID	6	马参与计算的参数，0力量，1敏捷，2智力，3体质	3	影响率（千分比）	200																																	
11344	67	5级增加HP上限效果	靠	1	11324	96	11344	1	0	1	1	0	0	0	0	0	0	20000	0	0	0	0	0	0	属性ID	6	马参与计算的参数，0力量，1敏捷，2智力，3体质	3	影响率（千分比）	250																																	
11345	67	6级增加HP上限效果	靠	1	11325	97	11345	1	0	1	1	0	0	0	0	0	0	20000	0	0	0	0	0	0	属性ID	6	马参与计算的参数，0力量，1敏捷，2智力，3体质	3	影响率（千分比）	300																																	
11346	67	7级增加HP上限效果	靠	1	11326	98	11346	1	0	1	1	0	0	0	0	0	0	20000	0	0	0	0	0	0	属性ID	6	马参与计算的参数，0力量，1敏捷，2智力，3体质	3	影响率（千分比）	350																																	
11347	67	8级增加HP上限效果	靠	1	11327	99	11347	1	0	1	1	0	0	0	0	0	0	20000	0	0	0	0	0	0	属性ID	6	马参与计算的参数，0力量，1敏捷，2智力，3体质	3	影响率（千分比）	400																																	
11348	67	9级增加HP上限效果	靠	1	11328	100	11348	1	0	1	1	0	0	0	0	0	0	20000	0	0	0	0	0	0	属性ID	6	马参与计算的参数，0力量，1敏捷，2智力，3体质	3	影响率（千分比）	450																																	
11349	67	10级增加HP上限效果	靠	1	11329	101	11349	1	0	1	1	0	0	0	0	0	0	20000	0	0	0	0	0	0	属性ID	6	马参与计算的参数，0力量，1敏捷，2智力，3体质	3	影响率（千分比）	500																																	
11350	66	1级增加HP上限buff	STD_IMPACT_0044	1	11330	186	11350	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11351	66	2级增加HP上限buff	STD_IMPACT_0044	1	11331	187	11351	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11352	66	3级增加HP上限buff	STD_IMPACT_0044	1	11332	188	11352	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11353	66	4级增加HP上限buff	STD_IMPACT_0044	1	11333	189	11353	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11354	66	5级增加HP上限buff	STD_IMPACT_0044	1	11334	190	11354	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11355	66	6级增加HP上限buff	STD_IMPACT_0044	1	11335	191	11355	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11356	66	7级增加HP上限buff	STD_IMPACT_0044	1	11336	192	11356	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11357	66	8级增加HP上限buff	STD_IMPACT_0044	1	11337	193	11357	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11358	66	9级增加HP上限buff	STD_IMPACT_0044	1	11338	194	11358	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11359	66	10级增加HP上限buff	STD_IMPACT_0044	1	11339	195	11359	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11360	71	1级回春效果	靠	1	11340	92	11360	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	10					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11361	71	2级回春效果	靠	1	11341	93	11361	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	20					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11362	71	3级回春效果	靠	1	11342	94	11362	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	30					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11363	71	4级回春效果	靠	1	11343	95	11363	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	40					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11364	71	5级回春效果	靠	1	11344	96	11364	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	50					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11365	71	6级回春效果	靠	1	11345	97	11365	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	60					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11366	71	7级回春效果	靠	1	11346	98	11366	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	70					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11367	71	8级回春效果	靠	1	11347	99	11367	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	80					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11368	71	9级回春效果	靠	1	11348	100	11368	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	90					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11369	71	10级回春效果	靠	1	11349	101	11369	1	0	1	1	0	0	0	0	0	0	20000	2000	0	0	0	0	0	0为按点数修正，1为按百分比修正	0	马参与计算的参数，0力量，1敏捷，2智力，3体质	2	影响率（千分比）	100					怒气1	-1	怒气2	-1	怒气0	-1	怒气4	-1					怒气5	-1															
11370	66	1级回春buff	STD_IMPACT_0044	1	11350	186	11370	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11371	66	2级回春buff	STD_IMPACT_0044	1	11351	187	11371	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11372	66	3级回春buff	STD_IMPACT_0044	1	11352	188	11372	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11373	66	4级回春buff	STD_IMPACT_0044	1	11353	189	11373	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11374	66	5级回春buff	STD_IMPACT_0044	1	11354	190	11374	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11375	66	6级回春buff	STD_IMPACT_0044	1	11355	191	11375	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11376	66	7级回春buff	STD_IMPACT_0044	1	11356	192	11376	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11377	66	8级回春buff	STD_IMPACT_0044	1	11357	193	11377	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11378	66	9级回春buff	STD_IMPACT_0044	1	11358	194	11378	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
11379	66	10级回春buff	STD_IMPACT_0044	1	11359	195	11379	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	目标类型（0自己，1对方）	0																																	
#	被动触发状态				#		#			1																																																					
11400	66	1级触发爆击	靠	1	11400	13	11400	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15000																																	
11401	65	2级触发爆击	靠	1	11400	13	11401	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15001																																	
11402	65	3级触发爆击	靠	1	11401	14	11402	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15002																																	
11403	65	4级触发爆击	靠	1	11402	15	11403	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15003																																	
11404	65	5级触发爆击	靠	1	11403	16	11404	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15004																																	
11405	65	6级触发爆击	靠	1	11404	17	11405	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15005																																	
11406	65	7级触发爆击	靠	1	11405	18	11406	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15006																																	
11407	65	8级触发爆击	靠	1	11406	19	11407	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15007																																	
11408	65	9级触发爆击	靠	1	11407	20	11408	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15008																																	
11409	65	10级触发爆击	靠	1	11408	21	11409	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15009																																	
11410	65	1级闪避	靠	1	11409	12	11410	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15010																																	
11411	65	2级闪避	靠	1	11410	13	11411	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15011																																	
11412	65	3级闪避	靠	1	11411	14	11412	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15012																																	
11413	65	4级闪避	靠	1	11412	15	11413	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15013																																	
11414	65	5级闪避	靠	1	11413	16	11414	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15014																																	
11415	65	6级闪避	靠	1	11414	17	11415	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15015																																	
11416	65	7级闪避	靠	1	11415	18	11416	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15016																																	
11417	65	8级闪避	靠	1	11416	19	11417	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	10	事件ID	4	impactID	15017																																	
