INT	STRING	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT
129	战马129	75	70	129	138	1	0	1	0	50000	15	45	15	45	15	45	105	315	215	857	215	857	215	857	1500	5998	3	8	2	4	850	884	5	1000	2	2	11003	11012	-1	-1	-1	-1	22
130	战马130	75	70	130	139	1	0	1	0	50000	41	50	41	50	108	132	81	99	643	964	643	964	1714	2571	1286	1928	3	8	2	4	850	884	5	1000	2	2	11003	11041	-1	-1	-1	-1	23
131	战马131	75	70	131	140	1	0	1	0	50000	108	132	41	50	41	50	81	99	1714	2571	643	964	643	964	1286	1928	3	8	2	4	850	884	5	1000	2	2	11003	11021	-1	-1	-1	-1	24
132	战马132	75	70	132	141	1	0	1	0	50000	41	50	108	132	41	50	81	99	643	964	1714	2571	643	964	1286	1928	3	8	2	4	850	884	5	1000	2	2	11003	11031	-1	-1	-1	-1	25
133	战马133	75	70	133	142	1	0	1	0	50000	27	33	189	231	27	33	27	33	429	643	429	643	2999	4499	429	643	3	8	2	4	850	884	5	1000	1	2	11003	11041	-1	-1	-1	-1	23
134	战马134	75	70	134	143	1	0	1	0	50000	27	33	27	33	189	231	27	33	2999	4499	429	643	429	643	429	643	3	8	2	4	850	884	5	1000	1	2	11003	11021	-1	-1	-1	-1	24
135	战马135	75	70	135	144	1	0	1	0	50000	189	231	27	33	27	33	27	33	429	643	2999	4499	429	643	429	643	3	8	2	4	850	884	5	1000	1	2	11003	11031	-1	-1	-1	-1	25
136	天马136	75	70	-1	-1	0	1	2	3	50000	45	105	45	105	45	105	45	105	1011	1877	1011	1877	1011	1877	1011	1877	3	8	2	3	853	1044	5	1000	3	2	11003	11201	-1	-1	-1	-1	20
137	天马137	75	70	-1	-1	0	1	2	3	50000	23	128	23	128	23	128	23	128	434	2455	434	2455	434	2455	434	2455	3	8	2	3	853	1044	5	1000	3	2	11003	11332	-1	-1	-1	-1	21
138	天马138	75	70	-1	-1	0	1	2	3	50000	9	51	9	51	9	51	63	357	405	751	405	751	405	751	2830	5256	3	8	2	3	853	1044	5	1000	3	2	11003	11012	-1	-1	-1	-1	22
139	天马139	75	70	-1	-1	0	1	2	3	50000	36	54	36	54	96	144	72	108	607	1127	607	1127	1617	3003	1213	2253	3	8	2	3	853	1044	5	1000	3	2	11003	11041	-1	-1	-1	-1	23
140	天马140	75	70	-1	-1	0	1	2	3	50000	96	144	36	54	36	54	72	108	1617	3003	607	1127	607	1127	1213	2253	3	8	2	3	853	1044	5	1000	3	2	11003	11021	-1	-1	-1	-1	24
141	天马141	75	70	-1	-1	0	1	2	3	50000	36	54	96	144	36	54	72	108	607	1127	1617	3003	607	1127	1213	2253	3	8	2	3	853	1044	5	1000	3	2	11003	11031	-1	-1	-1	-1	25
142	天马142	75	70	-1	-1	0	1	2	3	50000	14	77	36	204	14	77	27	153	260	1473	260	1473	693	3927	520	2946	3	8	2	3	853	1044	5	1000	1	2	11003	11041	-1	-1	-1	-1	23
143	天马143	75	70	-1	-1	0	1	2	3	50000	14	77	14	77	36	204	27	153	693	3927	260	1473	260	1473	520	2946	3	8	2	3	853	1044	5	1000	1	2	11003	11021	-1	-1	-1	-1	24
144	天马144	75	70	-1	-1	0	1	2	3	50000	36	204	14	77	14	77	27	153	260	1473	693	3927	260	1473	520	2946	3	8	2	3	853	1044	5	1000	1	2	11003	11031	-1	-1	-1	-1	25
145	野马145	85	80	151	-1	0	0	1	0	50000	68	102	68	102	68	102	68	102	1193	1458	1193	1458	1193	1458	663	1458	3	8	2	3	553	761	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
146	野马146	85	80	152	-1	0	0	1	0	50000	34	136	34	136	34	136	34	136	663	1988	663	1988	663	1988	1908	1988	3	8	2	3	553	761	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
147	野马147	85	80	153	-1	0	0	1	0	50000	55	82	55	82	55	82	109	164	954	1166	954	1166	954	1166	1431	2332	3	8	2	3	553	761	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
148	野马148	85	80	154	-1	0	0	1	0	50000	68	102	68	102	55	82	82	123	1193	1458	1193	1458	954	1166	1431	1749	3	8	2	3	553	761	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
149	野马149	85	80	155	-1	0	0	1	0	50000	55	82	68	102	68	102	82	123	954	1166	1193	1458	1193	1458	1431	1749	3	8	2	3	553	761	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
150	野马150	85	80	156	-1	0	0	1	0	50000	68	102	55	82	68	102	82	123	1193	1458	954	1166	1193	1458	1458	1749	3	8	2	3	553	761	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
151	战马151	85	80	151	160	1	0	1	0	50000	60	111	60	111	60	111	60	111	811	1893	811	1893	811	1893	811	1893	4	9	2	4	884	918	5	1000	2	2	11004	-1	-1	-1	-1	-1	26
152	战马152	85	80	152	161	1	0	1	0	50000	34	102	34	102	34	102	34	102	433	1730	433	1730	433	1730	433	1730	4	8	2	4	884	918	5	1000	2	2	11004	-1	-1	-1	-1	-1	26
153	战马153	85	80	153	162	1	0	1	0	50000	17	51	17	51	17	51	119	357	217	865	217	865	217	865	1514	6055	4	0	2	4	884	918	5	1000	2	2	11004	-1	-1	-1	-1	-1	26
154	战马154	85	80	154	163	1	0	1	0	50000	46	57	46	57	123	150	92	113	649	974	649	974	1730	2595	1298	1947	4	0	2	4	884	918	5	1000	2	2	11004	-1	-1	-1	-1	-1	26
155	战马155	85	80	155	164	1	0	1	0	50000	123	150	46	57	46	57	92	113	1730	2595	649	974	649	974	1298	1947	4	0	2	4	884	918	5	1000	2	2	11004	-1	-1	-1	-1	-1	26
156	战马156	85	80	156	165	1	0	1	0	50000	46	57	123	150	46	57	92	113	649	974	1730	2595	649	974	1298	1947	4	0	2	4	884	918	5	1000	2	2	11004	-1	-1	-1	-1	-1	26
157	战马157	85	80	157	166	1	0	1	0	50000	31	38	215	262	31	38	31	38	433	649	433	649	3028	4542	433	649	4	0	2	4	884	918	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
158	战马158	85	80	158	167	1	0	1	0	50000	31	38	31	38	215	262	31	38	3028	4542	433	649	433	649	433	649	4	0	2	4	884	918	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
159	战马159	85	80	159	168	1	0	1	0	50000	215	262	31	38	31	38	31	38	433	649	3028	4542	433	649	433	649	4	0	2	4	884	918	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
160	天马160	85	80	-1	-1	0	1	2	3	50000	51	119	51	119	51	119	51	119	1021	1895	1021	1895	1021	1895	1021	1895	4	9	2	4	888	1081	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
161	天马161	85	80	-1	-1	0	1	2	3	50000	26	145	26	145	26	145	26	145	438	2478	438	2478	438	2478	438	2478	4	9	2	4	888	1081	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
162	天马162	85	80	-1	-1	0	1	2	3	50000	11	58	11	58	11	58	72	405	409	758	409	758	409	758	2857	5306	4	9	2	4	888	1081	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
163	天马163	85	80	-1	-1	0	1	2	3	50000	41	62	41	62	109	164	82	123	613	1137	613	1137	1633	3032	1225	2274	4	9	2	4	888	1081	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
164	天马164	85	80	-1	-1	0	1	2	3	50000	109	164	41	62	41	62	82	123	1633	3032	613	1137	613	1137	1225	2274	4	9	2	4	888	1081	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
165	天马165	85	80	-1	-1	0	1	2	3	50000	41	62	109	164	41	62	82	123	613	1137	1633	3032	613	1137	1225	2274	4	9	2	4	888	1081	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
166	天马166	85	80	-1	-1	0	1	2	3	50000	16	87	41	232	16	87	31	174	263	1487	263	1487	700	3965	525	2974	4	9	2	4	888	1081	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
167	天马167	85	80	-1	-1	0	1	2	3	50000	16	87	16	87	41	232	31	174	700	3965	263	1487	263	1487	525	2974	4	9	2	4	888	1081	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
168	天马168	85	80	-1	-1	0	1	2	3	50000	41	232	16	87	16	87	31	174	263	1487	700	3965	263	1487	525	2974	4	9	2	4	888	1081	5	1000	1	2	11004	-1	-1	-1	-1	-1	26
169	野马169	95	90	175	-1	0	0	1	0	50000	76	114	76	114	76	114	76	114	1204	1472	1204	1472	1204	1472	669	1472	4	9	2	4	588	830	5	1000	1	2	11005	-1	-1	-1	-1	-1	26
170	野马170	95	90	176	-1	0	0	1	0	50000	38	152	38	152	38	152	38	152	669	2007	669	2007	669	2007	1926	2007	4	9	2	4	588	830	5	1000	1	2	11005	-1	-1	-1	-1	-1	26
171	野马171	95	90	177	-1	0	0	1	0	50000	61	92	61	92	61	92	122	183	963	1177	963	1177	963	1177	1445	2354	4	9	2	4	588	830	5	1000	1	2	11005	-1	-1	-1	-1	-1	26
172	野马172	95	90	178	-1	0	0	1	0	50000	76	114	76	114	61	92	92	137	1204	1472	1204	1472	963	1177	1445	1766	4	9	2	4	588	830	5	1000	1	2	11005	-1	-1	-1	-1	-1	26
173	野马173	95	90	179	-1	0	0	1	0	50000	61	92	76	114	76	114	92	137	963	1177	1204	1472	1204	1472	1445	1766	4	9	2	4	588	830	5	1000	1	2	11005	-1	-1	-1	-1	-1	26
174	野马174	95	90	180	-1	0	0	1	0	50000	76	114	61	92	76	114	92	137	1204	1472	963	1177	1204	1472	1458	1766	4	9	2	4	588	830	5	1000	1	2	11005	-1	-1	-1	-1	-1	26
175	战马175	95	90	175	184	1	0	1	0	50000	67	124	67	124	67	124	67	124	819	1910	819	1910	819	1910	819	1910	4	10	3	5	918	952	5	1000	2	2	11005	-1	-1	-1	-1	-1	26
176	战马176	95	90	176	185	1	0	1	0	50000	38	114	38	114	38	114	38	114	437	1747	437	1747	437	1747	437	1747	4	10	3	5	918	952	5	1000	2	2	11005	-1	-1	-1	-1	-1	26
177	战马177	95	90	177	186	1	0	1	0	50000	19	57	19	57	19	57	133	399	219	874	219	874	219	874	1528	6112	4	10	3	5	918	952	5	1000	2	2	11005	-1	-1	-1	-1	-1	26
178	战马178	95	90	178	187	1	0	1	0	50000	52	63	52	63	137	168	103	126	655	983	655	983	1747	2620	1310	1965	4	10	3	5	918	952	5	1000	2	2	11005	-1	-1	-1	-1	-1	26
179	战马179	95	90	179	188	1	0	1	0	50000	137	168	52	63	52	63	103	126	1747	2620	655	983	655	983	1310	1965	4	10	3	5	918	952	5	1000	2	2	11005	-1	-1	-1	-1	-1	26
180	战马180	95	90	180	189	1	0	1	0	50000	52	63	137	168	52	63	103	126	655	983	1747	2620	655	983	1310	1965	4	10	3	5	918	952	5	1000	2	2	11005	-1	-1	-1	-1	-1	26
181	战马181	95	90	181	190	1	0	1	0	50000	35	42	240	293	35	42	35	42	437	655	437	655	3056	4584	437	655	4	10	3	5	918	952	5	1000	1	2	11005	-1	-1	-1	-1	-1	26
182	战马182	95	90	182	191	1	0	1	0	50000	35	42	35	42	240	293	35	42	3056	4584	437	655	437	655	437	655	4	10	3	5	918	952	5	1000	1	2	11005	-1	-1	-1	-1	-1	26
183	战马183	95	90	183	192	1	0	1	0	50000	240	293	35	42	35	42	35	42	437	655	3056	4584	437	655	437	655	4	10	3	5	918	952	5	1000	1	2	11005	-1	-1	-1	-1	-1	26
184	天马184	95	90	-1	-1	0	1	2	3	50000	57	133	57	133	57	133	57	133	1030	1913	1030	1913	1030	1913	1030	1913	4	10	2	4	922	1117	5	1000	3	2	11005	-1	-1	-1	-1	-1	26
185	天马185	95	90	-1	-1	0	1	2	3	50000	29	162	29	162	29	162	29	162	442	2502	442	2502	442	2502	442	2502	4	10	2	4	922	1117	5	1000	3	2	11005	-1	-1	-1	-1	-1	26
186	天马186	95	90	-1	-1	0	1	2	3	50000	12	65	12	65	12	65	80	453	412	766	412	766	412	766	2884	5356	4	10	2	4	922	1117	5	1000	3	2	11005	-1	-1	-1	-1	-1	26
187	天马187	95	90	-1	-1	0	1	2	3	50000	46	69	46	69	122	183	92	137	618	1148	618	1148	1648	3061	1236	2296	4	10	2	4	922	1117	5	1000	3	2	11005	-1	-1	-1	-1	-1	26
188	天马188	95	90	-1	-1	0	1	2	3	50000	122	183	46	69	46	69	92	137	1648	3061	618	1148	618	1148	1236	2296	4	10	2	4	922	1117	5	1000	3	2	11005	-1	-1	-1	-1	-1	26
189	天马189	95	90	-1	-1	0	1	2	3	50000	46	69	122	183	46	69	92	137	618	1148	1648	3061	618	1148	1236	2296	4	10	2	4	922	1117	5	1000	3	2	11005	-1	-1	-1	-1	-1	26
190	天马190	95	90	-1	-1	0	1	2	3	50000	18	97	46	259	18	97	35	194	265	1501	265	1501	707	4002	530	3002	4	10	2	4	922	1117	5	1000	1	2	11005	-1	-1	-1	-1	-1	26
191	天马191	95	90	-1	-1	0	1	2	3	50000	18	97	18	97	46	259	35	194	707	4002	265	1501	265	1501	530	3002	4	10	2	4	922	1117	5	1000	1	2	11005	-1	-1	-1	-1	-1	26
192	天马192	95	90	-1	-1	0	1	2	3	50000	46	259	18	97	18	97	35	194	265	1501	707	4002	265	1501	530	3002	4	10	2	4	922	1117	5	1000	1	2	11005	-1	-1	-1	-1	-1	26
193	野马193	105	100	199	-1	0	0	1	0	50000	84	126	84	126	84	126	84	126	1215	1485	1215	1485	1215	1485	675	1485	4	10	2	4	622	899	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
194	野马194	105	100	200	-1	0	0	1	0	50000	42	168	42	168	42	168	42	168	675	2025	675	2025	675	2025	1944	2025	4	10	2	4	622	899	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
195	野马195	105	100	201	-1	0	0	1	0	50000	68	101	68	101	68	101	135	202	972	1188	972	1188	972	1188	1458	2376	4	10	2	4	622	899	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
196	野马196	105	100	202	-1	0	0	1	0	50000	84	126	84	126	68	101	101	152	1215	1485	1215	1485	972	1188	1458	1782	4	10	2	4	622	899	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
197	野马197	105	100	203	-1	0	0	1	0	50000	68	101	84	126	84	126	101	152	972	1188	1215	1485	1215	1485	1458	1782	4	10	2	4	622	899	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
198	野马198	105	100	204	-1	0	0	1	0	50000	84	126	68	101	84	126	101	152	1215	1485	972	1188	1215	1485	1458	1782	4	10	2	4	622	899	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
199	战马199	105	100	199	208	1	0	1	0	50000	74	137	74	137	74	137	74	137	827	1928	827	1928	827	1928	827	1928	5	11	3	5	952	986	5	1000	2	2	11006	-1	-1	-1	-1	-1	26
200	战马200	105	100	200	209	1	0	1	0	50000	42	126	42	126	42	126	42	126	441	1763	441	1763	441	1763	441	1763	5	11	3	5	952	986	5	1000	2	2	11006	-1	-1	-1	-1	-1	26
201	战马201	105	100	201	210	1	0	1	0	50000	21	63	21	63	21	63	147	441	221	882	221	882	221	882	1543	6169	5	11	3	5	952	986	5	1000	2	2	11006	-1	-1	-1	-1	-1	26
202	战马202	105	100	202	211	1	0	1	0	50000	57	70	57	70	152	185	114	139	661	992	661	992	1763	2644	1322	1983	5	11	3	5	952	986	5	1000	2	2	11006	-1	-1	-1	-1	-1	26
203	战马203	105	100	203	212	1	0	1	0	50000	152	185	57	70	57	70	114	139	1763	2644	661	992	661	992	1322	1983	5	11	3	5	952	986	5	1000	2	2	11006	-1	-1	-1	-1	-1	26
204	战马204	105	100	204	213	1	0	1	0	50000	57	70	152	185	57	70	114	139	661	992	1763	2644	661	992	1322	1983	5	11	3	5	952	986	5	1000	2	2	11006	-1	-1	-1	-1	-1	26
205	战马205	105	100	205	214	1	0	1	0	50000	38	47	265	324	38	47	38	47	441	661	441	661	3085	4627	441	661	5	11	3	5	952	986	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
206	战马206	105	100	206	215	1	0	1	0	50000	38	47	38	47	265	324	38	47	3085	4627	441	661	441	661	441	661	5	11	3	5	952	986	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
207	战马207	105	100	207	216	1	0	1	0	50000	265	324	38	47	38	47	38	47	441	661	3085	4627	441	661	441	661	5	11	3	5	952	986	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
208	天马208	105	100	-1	-1	0	1	2	3	50000	63	147	63	147	63	147	63	147	1040	1931	1040	1931	1040	1931	1040	1931	5	11	3	5	956	1153	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
209	天马209	105	100	-1	-1	0	1	2	3	50000	32	179	32	179	32	179	32	179	446	2525	446	2525	446	2525	446	2525	5	11	3	5	956	1153	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
210	天马210	105	100	-1	-1	0	1	2	3	50000	13	72	13	72	13	72	89	500	416	773	416	773	416	773	2911	5406	5	11	3	5	956	1153	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
211	天马211	105	100	-1	-1	0	1	2	3	50000	51	76	51	76	135	202	101	152	624	1159	624	1159	1664	3089	1248	2317	5	11	3	5	956	1153	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
212	天马212	105	100	-1	-1	0	1	2	3	50000	135	202	51	76	51	76	101	152	1664	3089	624	1159	624	1159	1248	2317	5	11	3	5	956	1153	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
213	天马213	105	100	-1	-1	0	1	2	3	50000	51	76	135	202	51	76	101	152	624	1159	1664	3089	624	1159	1248	2317	5	11	3	5	956	1153	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
214	天马214	105	100	-1	-1	0	1	2	3	50000	19	108	51	286	19	108	38	215	268	1515	268	1515	713	4040	535	3030	5	11	3	5	956	1153	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
215	天马215	105	100	-1	-1	0	1	2	3	50000	19	108	19	108	51	286	38	215	713	4040	268	1515	268	1515	535	3030	5	11	3	5	956	1153	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
216	天马216	105	100	-1	-1	0	1	2	3	50000	51	286	19	108	19	108	38	215	268	1515	713	4040	268	1515	535	3030	5	11	3	5	956	1153	5	1000	1	2	11006	-1	-1	-1	-1	-1	26
