INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	STRING	FLOAT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT
411		3	履霜冰至	技能描述	#G对目标连续造成2次远程内功攻击附加20点伤害。|#G对目标连续造成2次远程内功攻击附加20点伤害。|#G对目标连续造成2次远程内功攻击附加20点伤害。|#G对目标连续造成2次远程内功攻击附加20点伤害。|#G对目标连续造成2次远程内功攻击附加20点伤害，且附带满级效果并降低目标移动速度30%持续3秒。	技能描述	WXSJ_skill_zhanggaibang_1_11	0	0	-1	5	500|500|500|500|500	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		10	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	0	0	0	2	11		169	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	100|100|100|100|100	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	23501|23502|23503|23504|23505|	|引导周期的附加效果1	-1	生效一次的附加效果2	23506|23507|23508|23509|23510|	引导周期的附加效果2	-1	|生效一次的附加效果2	-1|-1|-1|-1|23511	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
412		3	六龙回旋	技能描述	"#G将一个敌对目标变为一头猪持续3秒。|#G将一个敌对目标变为一头猪持续3.5秒。|#G将一个敌对目标变为一头猪持续4秒。|#G将一个敌对目标变为一头猪持续4.5秒。|#G将一个敌对目标变为一头猪持续5秒,且附带满级效果并使其定身。"	技能描述	WXSJ_skill_zhanggaibang_1_12	0	0	-1	5	6000|6000|6000|6000|6000	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		10	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	0	0	0	2	12		170	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	4	-1	1	-1	0	0	0	100|100|100|100|100	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	23551|23552|23553|23554|23555|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
413		3	利涉大川	技能描述	#G永久提高内力值2%。|#G永久提高内力值4%。|#G永久提高内力值6%。|#G永久提高内力值8%。|#G永久提高内力值10%，且附带满级效果同时永久提高体质值3%。	技能描述	WXSJ_skill_zhanggaibang_1_13	0	0	-1	5	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	3	13			-1	0	0	1	2		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	0	800	0	12	1	0	-1	0	0	0	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	23601|23602|23603|23604|23605|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
414		3	飞龙在天	技能描述	#G对一个敌对目标造成自身水属性攻击附加500点的伤害。|#G对一个敌对目标造成自身水属性攻击附加570点的伤害。|#G对一个敌对目标造成自身水属性攻击附加640点的伤害。|#G对一个敌对目标造成自身水属性攻击附加710点的伤害。|#G对一个敌对目标造成自身水属性攻击附加780点的伤害，且附带满级效果降低目标土属性抗性300点。	技能描述	WXSJ_skill_zhanggaibang_1_14	0	0	-1	5	500|500|500|500|500	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		10	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	0	0	0	2	14		171	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	100|100|100|100|100	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	23651|23652|23653|23654|23655|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1|-1|-1|-1|23656	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
415		3	龙战于野	技能描述	#G对一个敌对目标造成自身土属性攻击附加600点的伤害。|#G对一个敌对目标造成自身土属性攻击附加660点的伤害。|#G对一个敌对目标造成自身土属性攻击附加720点的伤害。|#G对一个敌对目标造成自身土属性攻击附加780点的伤害。|#G对一个敌对目标造成自身土属性攻击附加840点的伤害，且附带满级效果同时造成自身火属性攻击附加300点的伤害。	技能描述	WXSJ_skill_zhanggaibang_1_15	0	0	-1	5	500|500|500|500|500	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		10	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	0	0	0	2	15		172	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	100|100|100|100|100	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	23701|23702|23703|23704|23705|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
416		3	时乘六龙	技能描述	#G对目标造成远程内功攻击附加500点的伤害。|#G对目标造成远程内功攻击附加600点的伤害。|#G对目标造成远程内功攻击附加700点的伤害。|#G对目标造成远程内功攻击附加800点的伤害。|#G对目标造成远程内功攻击附加900点的伤害，且附带满级效果有50%的几率额外造成金属性攻击附加500点的伤害。	技能描述	WXSJ_skill_zhanggaibang_1_16	0	0	-1	5	500|500|500|500|500	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	16		173	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	100|100|100|100|100	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	23751|23752|23753|23754|23755|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1|-1|-1|-1|23756	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
417		3	双龙取水	技能描述	#G为自身施加一个状态持续180秒，每20秒使自身8米内的2个敌对目标流失自身火属性攻击的生命。|#G为自身施加一个状态持续180秒，每18秒使自身8米内的2个敌对目标流失自身火属性攻击的生命。|#G为自身施加一个状态持续180秒，每15秒使自身8米内的2个敌对目标流失自身火属性攻击的生命。|#G为自身施加一个状态持续180秒，每12秒使自身8米内的2个敌对目标流失自身火属性攻击的生命。|#G为自身施加一个状态持续180秒，每10秒使自身8米内的2个敌对目标流失自身火属性攻击的生命，且附带满级效果技能持续时间延长120秒。	技能描述	WXSJ_skill_zhanggaibang_2_1	0	0	-1	5	500|500|500|500|500	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	17		174	-1	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	0	800	0	12	-1	1	-1	0	0	0	100|100|100|100|100	-1|-1|-1|-1|-1	0	-1	6|6|6|6|6	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	23801|23802|23803|23804|23805|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
418		3	群龙无首	技能描述	#G对一个敌对目标造成火属性攻击附加600点的伤害，并使目标定身1秒。|#G对一个敌对目标造成火属性攻击附加650点的伤害，并使目标定身1秒。|#G对一个敌对目标造成火属性攻击附加700点的伤害，并使目标定身1秒。|#G对一个敌对目标造成火属性攻击附加750点的伤害，并使目标定身1秒。|#G对一个敌对目标造成火属性攻击附加800点的伤害，并使目标定身1秒，且附带满级效果使目标燃烧每3秒流失施法者火属性攻击点数的生命持续9秒。	技能描述	WXSJ_skill_zhanggaibang_2_2	0	0	-1	5	500|500|500|500|500	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		10	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	0	0	0	2	18		175	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	4	-1	1	-1	0	0	0	100|100|100|100|100	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	23851|23852|23853|23854|23855|	|引导周期的附加效果1	-1	生效一次的附加效果2	23856|23857|23858|23859|23860	引导周期的附加效果2	-1	|生效一次的附加效果2	-1|-1|-1|-1|23861	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
419		3	潜龙勿用	技能描述	#G激活自身一个状态使自身全部防御提高1000点持续4秒。|#G激活自身一个状态使自身全部防御提高1000点持续5秒。|#G激活自身一个状态使自身全部防御提高1000点持续6秒。|#G激活自身一个状态使自身全部防御提高1000点持续7秒。|#G激活自身一个状态使自身全部防御提高1000点持续8秒，且附带满级效果同时使自身暴击率提高10%。	技能描述	WXSJ_skill_zhanggaibang_2_3	0	0	-1	5	500|500|500|500|500	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		10	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	0	0	0	2	19		176	-1	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	0	800	0	4	-1	1	-1	0	0	0	100|100|100|100|100	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	23901|23902|23903|23904|23905|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1|-1|-1|-1|23906	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
420		3	降龙十八掌	技能描述	#G每秒对6米内的随机目标造成一次自身火属性攻击伤害持续9秒。|#G每秒对6米内的随机目标造成一次自身火属性攻击伤害持续9秒。|#G每秒对6米内的随机目标造成一次自身火属性攻击伤害持续9秒。|#G每秒对6米内的随机目标造成一次自身火属性攻击伤害持续9秒。|#G每秒对6米内的随机目标造成一次自身火属性攻击伤害持续9秒，且附带满级效果攻击频率变为0.5秒。	技能描述	WXSJ_skill_zhanggaibang_2_4	0	0	-1	5	500|500|500|500|500	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	20		177	-1	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	0	800	0	12	-1	1	-1	0	0	0	100|100|100|100|100	-1|-1|-1|-1|-1	0	-1	6|6|6|6|6	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	23951|23952|23953|23954|23955|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
########	剑武当技	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########				
########	剑武当技	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########				
########	剑武当技	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########				
501		4	技能501	技能描述	技能描述	技能描述	WXSJ_skill_jianwudang_1_1	0	0	-1	5	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	1			-1	0	0	1	2		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	1221|1222|1223|1224|1225|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
502		4	技能502	技能描述	技能描述	技能描述	WXSJ_skill_jianwudang_1_2	0	0	-1	5	500|500|500|500|500	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	2		124	-1	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	1221|1222|1223|1224|1225|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
503		4	技能503	技能描述	技能描述	技能描述	WXSJ_skill_jianwudang_1_3	0	0	-1	5	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	3			-1	0	0	1	2		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	1221|1222|1223|1224|1225|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
504		4	技能504	技能描述	技能描述	技能描述	WXSJ_skill_jianwudang_1_4	0	0	-1	5	500|500|500|500|500	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	4		125	-1	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	1221|1222|1223|1224|1225|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
505		4	技能505	技能描述	技能描述	技能描述	WXSJ_skill_jianwudang_1_5	0	0	-1	5	500|500|500|500|500	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	5		126	-1	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	1221|1222|1223|1224|1225|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
506		4	技能506	技能描述	技能描述	技能描述	WXSJ_skill_jianwudang_1_6	0	0	-1	5	500|500|500|500|500	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	6		127	-1	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	1221|1222|1223|1224|1225|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
507		4	技能507	技能描述	技能描述	技能描述	WXSJ_skill_jianwudang_1_7	0	0	-1	5	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	7			-1	0	0	1	2		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	1221|1222|1223|1224|1225|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
508		4	技能508	技能描述	技能描述	技能描述	WXSJ_skill_jianwudang_1_8	0	0	-1	5	500|500|500|500|500	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	8		128	-1	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	1221|1222|1223|1224|1225|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
509		4	技能509	技能描述	技能描述	技能描述	WXSJ_skill_jianwudang_1_9	0	0	-1	5	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	9			-1	0	0	1	2		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	1221|1222|1223|1224|1225|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
510		4	技能510	技能描述	技能描述	技能描述	WXSJ_skill_jianwudang_1_10	0	0	-1	5	500|500|500|500|500	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	10		129	-1	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	1221|1222|1223|1224|1225|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
511		4	技能511	技能描述	技能描述	技能描述	WXSJ_skill_jianwudang_1_11	0	0	-1	5	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	11			-1	0	0	1	2		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	12	-1	1	-1	0	0	0	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	0	-1	0|0|0|0|0	360	1|1|1|1|1	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	1221|1222|1223|1224|1225|	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
