INT	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING
3034	马尔基娜	虽然阿里巴巴救了戈西木一命，但贪婪的戈西木非但不领情，嫉妒之情反而加深了。这次阿里巴巴来到中国旅游，戈西木也非要跟来，不知道葫芦里卖的什么药？哎，我真替主人阿里巴巴担忧啊！	-1					
3035	花满楼	如果让我选择，我不会选择做令人望而生畏的“剑神”，而是乐于助人的“花仙”。    	-1					
3036	花小凤	"我是一个有着四条眉毛的人。喜欢喝酒，欣赏美女。更重要的是我重情义,桃花不断。虽然我表面上对很多事都漫不经心。但却十分在意。"	-1					
3037	柳眉色	小凤是一个会永远给你创造惊喜的人，和他在一起，每一天都是新的。	-1					
3038	蔡子元	我白莲教其实和佛教一脉相承，同宗同源。	-1					
3039	祝天峰	白莲教是北宋至近代流传的民间宗教，渊源于佛教的净土宗。主持者既有僧侣，也有在家信徒。	-1					
3040	习玫红	相传净土宗始祖东晋释慧远在庐山东林寺与刘遗民等结白莲社共同念佛，后世信徒以为楷模。北宋时净土念佛结社盛行，多称白莲社或莲社，	-1					
3041	开谢花	"坐看世事变迁,流云转月,花开花谢,潮起潮又落。唯我心不变。"	-1					
3042	于正我	元朝统一中国后，白莲教受到朝廷承认和奖掖，进入了全盛时期，只是不知道这段时期能有多长久？	-1					
3043	元十三限	嘘，小点声！不要告诉别人我对师父亲近朝廷的不满。	-1					
3044	阳顶天	我们明教弟子沿袭明教总教的法旨，在中土大规模兴建大云光明寺。你要是用机会去光明顶拜访，我们一定欢迎！但不知这次总教教主摩尼敦率教中长老，不远万里来我中土，所为何事。。。	-1					
3045	摩尼敦	"我们明教敬摩尼为光明之神,并崇拜日月。教徒服色尚白,提倡素食、戒酒，讲究团结互助,称为一家;认为世上光明力量终必战胜黑暗力量。"	-1					
3046	阿和莫大师	中土明教经过五百余年的长期发展，现在势力遍布大江南北，成为仅次于佛教，居著名的三夷教（明教、景教、祆教）之首的中土大派。若能把中土明教牢牢掌握手中，对我们的大业会起到不可估量的作用。	-1					
3047	海亚姆	焚我残躯，熊熊圣火。生亦何欢，死亦何苦？为善除恶，惟光明故，喜乐悲愁，皆归尘土。怜我世人，忧患实多！怜我世人，忧患实多！	-1					
3048	陆秀夫	大宋虽亡，但人心思汉，仍有中兴的希望！	-1					
3049	红云道长	我汉人万里花花江山，就这么易手了么？	-1					
3050	道空	"真正的大侠，要胸怀坦荡,眼界高深,为国为民,不求回报。敢于承担天下大担,敢于面对逆雨疾风,甘于天下误解。"	-1					
3051	空明和尚	我们红巾会的兄弟，都被陆秀夫大人的精神所感动，以恢复汉人江山为己任。我看你侠肝义胆才对你说，你可要严守秘密！	-1					
3052	天衣居	最近有传闻，说是大都龙脉被动，海眼震动，我特地来查看此事。	-1	300301|700004				
3053	雨凝脂	大都，再早的话，这儿是叫“苦海幽州”。要修此城，可全着落在一个“水”字上。	-1					
3054	楚含烟	桃花美景，芳菲四月天，真是美不胜收。	-1					
3055	米苍穹	天下粮仓都满之日，才是世间万民安康之时！你说，我说的对不对？	-1					
3056	白愁飞	杀乞丐是假，转龙气是真；找金子是假，寻海眼是真。此中玄机，需你慢慢参悟。	-1					
3057	红娘	我家小姐和张生，郎情妾意，却谁也不愿捅破这层窗户纸。嗯，我主意已定，定要玉成两人好事。	-1					
3058	张生	莺莺小姐现在被孙飞虎逼迫，我一定要将莺莺救出虎口。	-1					
3059	孙飞虎	嘿嘿，一想到莺莺小姐那身段，那面容，我就。。。嘿嘿	-1					
3060	崔莺莺	张生对我有救命之恩，且是个有情有义的痴情郎，哎，可惜。。。	-1					
3061	阿尼哥	中国是世界上最强大的国家，我为自己能在这样的国家主持兴建圣寿万安寺白塔而感到自豪。	-1					
3062	阿述腊	能成为父亲阿尼哥那样伟大的工匠，一直是我的理想和终生追求的目标。	-1					
3063	刘元	你要是能帮我，说服阿尼哥收我为徒，我就请你去大都有名的耀兰斋酒楼吃一顿！	-1					
3064	冷小欺	丐帮是江湖第一大帮，我一直想加入其中的净衣派，可愁没人引荐。	-1					
3065	丁裳衣	这次帮主大人的令尊蒙冤被囚，我们净衣派当仁不让的需要发挥自己的作用，助其一臂之力！	-1					
3066	李玄衣	哎，每天出来打探耶律楚材大人的消息，真是累死了！	-1					
3067	谢晓峰	刘秉忠建北京城时，在此处遇龙王闹水，便对龙王说，“你先进去等什么时候这桥变了旧桥你再出来。”自此，这座桥就只叫北新桥，永远不能叫旧桥了。	-1					
3068	关汉卿	六十年前全真教丘处机道长向成吉思汗建议宽和之国时，他一定没想到。如今百姓疾苦，有谁能知？	-1					
3069	马车夫赵东四	不要被看来容易的道路所迷惑，因为只有划破脚的坎坷路才是人生惟一向前的道路。	-1	300412|300414|300415|300416|300417|300418|300419|300420|300421|300447|300448|300449|300450|300451|300452|300453				
3070	跌打师傅任伯	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
3071	赤老温	"成吉思汗和他的子孙们，建立的汗国遍布世界,新月和十字架闪耀在长生天之下。"	-1					
3072	多则	"成吉思汗和他的子孙们，建立的汗国遍布世界,新月和十字架闪耀在长生天之下。"	-1					
3073	张洪筹	"成吉思汗和他的子孙们，建立的汗国遍布世界,新月和十字架闪耀在长生天之下。"	-1					
3074	赵术叶	"成吉思汗和他的子孙们，建立的汗国遍布世界,新月和十字架闪耀在长生天之下。"	-1					
3075	沈庆之	"成吉思汗和他的子孙们，建立的汗国遍布世界,新月和十字架闪耀在长生天之下。"	-1					
3076	段知行	"成吉思汗和他的子孙们，建立的汗国遍布世界,新月和十字架闪耀在长生天之下。"	-1					
3077	佛罗伦萨	你们要原谅那些有悔过之心的人们，无论他们现在是在天堂还是身在别处。	-1					
3078	托马斯	一百五十年前的今天，伟大的萨拉丁选在登霄节这一天进入耶路撒冷，以纪念先知穆罕默德在耶路撒冷登霄。	-1					
3079	薄伽丘	三千万平方公里的国土，已经超过了罗马帝国和波斯帝国的面积总和，我虽然身为异国人，但也为你们雄伟的中国感到骄傲。	-1					
3080	北条时宗	中国的文化，是世界上最先进的。我们日本，需要虚心学习。	-1					
3081	崔怡	我在研读了贵国沈括的《梦溪笔谈》后，改进完成了金属活字术，所以特别感谢沈先生。这次从高丽来到中土，抱着试一试的态度寻访沈氏后人，表达自己的倾慕之情，没料想真的让我找到了沈氏后人，就是京城首富沈万三他们一大家子。	-1					
3082	耶律楚材	我希望你们--所有中国的子民们，不分种族，贵贱，老幼，都能担负起责任，将我们的国家的旗帜飘扬到成吉思汗所经过的地方。	-1					
3083	孙德行	耶律楚材大人，因为不同意赵王提出的“人分四等”的民族歧视政策，而被软禁于此，真是社稷不幸，天下不幸！我已经向圣上进言，希望能还耶律大人一个公道！如果仍无法救出大人，我便要辞官不做，誓不与朝廷奸党同流合污！	-1					
3084	哲别	成吉思汗告诉我们，成功不能空想，需要用铁一般的意志和汗水，泪水，甚至血水，才能铸就。在这过程中，你甚至需要自己体味爱人的背叛，亲人的离去，朋友的反目，但是当最终那天你站在世界之峰的时候，环望四周你会感觉这些痛苦都是值得的。	-1					
3085	郭侃	成吉思汗的年代，是人心振奋的年代，是属于中国人的年代！我们在这个年代奋进，将中国的旗帜插遍天下！	-1					
3086	铁木尔	现在朝中老臣纷纷故去，能辅佐我大元的，只剩下哲别，郭侃等两三老臣了。	-1					
3087	帖木儿	大都是中国的政治军事文化中心，我要在这里充分学习，为自己的事业做充分的积累。	-1					
3088	马可·波罗	成吉思汗和当今圣上，把中国的疆土扩大了十倍，建立了不可磨灭的功勋。	-1					
3089	王东阳	"刘秉忠天下奇才,造得大都,引得白浮泉，这水都连着中国的龙脉。"	-1					
3090	铁中堂	成吉思汗和当今圣上，把中国的疆土扩大了十倍，建立了不可磨灭的功勋。	-1					
3091	铁珊瑚	不明白，父亲为何赞成中土统一，现在江湖众人，不少是追随陆秀夫陆大哥的。	-1					
3092	云铮	成吉思汗宝藏中，就有《武穆遗书》。这是本兵法奇书，堪比《孙子兵法》。有了它，便可席卷天下。	-1					
3093	八思巴	世间众人，原都本性善良，却被内心私欲所利用，迷失自我。若能拨开迷雾，重归本性，便可进入随心所欲之境。	-1					
3094	张宗演	“二十年后，天下当混一”，神仙之言，验于今日。现在神州大地重归一统，中国傲立于世界民族之林。	-1					
3095	张文谦	我和秉忠为同年进士，后来秉忠又把我推荐给朝廷，同朝为官。	-1					
3096	刘秉忠	元，取自《易经》中“大哉乾元”之意，世祖采纳了我的意见，将我们中国定名为“元”。	-1					
3097	李志常	我全真教自从师叔丘处机赴西域大雪山谒见元太祖，受到礼遇，命其掌管道教，日渐兴旺。但不知此次武林大会，所为何事。	-1	300300|300301				
3098	赵志敬	我全真教虽然屡受国恩，但自从宋朝被灭，我们与朝廷的关系，便开始若即若离了。	-1					
3099	刘志源	清静无为乃修道之本，除情去欲，心地清静，才能返朴存真，识心见性。我们全真教注重修炼“性命”，认为“性者神也，命者气也”，“气神相结，谓之神仙”。主张修道者必须出家，并忍耻含垢，苦己利人，戒杀戒色，节饮食，少睡眠。	-1					
3100	郭成显	嘿嘿，只要修了几年道，学得了一丁半点秘术，便借此去巴结权贵，换取荣华富贵。比大哥郭守敬成天捣腾些什么仪器，轻松多了。	-1					
3101	完颜不悔	嘟！我祖父大金朝赵王完颜洪烈，威名显赫，后被元所灭。听人说，杀我父皇的元朝贵族继承了我父亲的爵位和领地，也称“赵王”。我一定要找出他是谁！	-1					
3102	郭天旭	"我这只手反正已杀得太多了,让它休息休息也好。而且为了和曲妹的这份爱，我们可以放弃一切。"	-1					
3103	曲无容	我和红哥两人在危难中相遇相爱，在逃亡中度过余生，我没有一句怨言，也永远不悔，因为我们已找到了真爱。	-1					
3104	张君宝	你是从终南山来的么？不知我的郭襄姐姐，还都好么？	-1					
3105	张翠山	我父张天宝，本是武林中人，最近却老和赵王府来往密切。奇怪，奇怪！	-1					
3106	沈红泪	红颜如月有圆缺，君名逍遥莫悲切。今日种种深心总，他夜梦里见芳踪。正是人生如戏，戏如人生。	-1					
3107	燕十三	大都的戏剧很发达，欢迎来此处观赏。	-1	300301|700002				
3108	燕赤霞	我们走南闯北，还是觉得大都比较适宜居住。	-1					
3109	马致远	我在大都城内开了家戏园子，每天上演一些很有趣的曲目，你有时间，不妨去看看。	-1					
3110	王实甫	自从全真教丘处机道长以七十三岁高龄不辞辛苦，拜见成吉思汗后，成吉思汗遂命令他“掌管天下的出家人”，并敕免全真门下道士的差役赋税。深得成吉思汗的礼敬，尊称其为“邱神仙”。	-1					
3111	云天河	我爹说过，男子汉立世无所畏惧，没什么好怕的。可是现在……我好像变得胆小了，会害怕很多事……我怕这辈子真的再也不能见到梦璃，怕我们救不了玄霄……我更怕……救不了菱纱，她会死……	-1					
3112	韩菱纱	天河那个山顶野人，来到大都这么一个繁华的都市，又被雷到了，哎，人傻没办法。嘻嘻！（脸色一转）不过这次我们入大都另有隐情，为了寻得救助琼华派的三把寒冰神器，而这三把神器，据我的族人说，都在成吉思汗的宝藏里。	-1					
3113	慕容紫英	来大都已有些时日，不知道琼华派怎么样了？哎，我昆仑琼华派一直探寻长生之法，不错，长生之法，人人艳羡，却又有几人真正明白自己想要什么？包括曾向全真教丘道长探寻不老仙术的成吉思汗，包括我的师叔……	-1					
3114	柳梦璃	或许人和人之间的缘分，都是注定的……等到上天要收回的时候，连一天一刻都不会多等……所以我一直希望，我们四人能像今天到大都游玩这样，永远快快乐乐的在一起。 	-1					
3115	舒侠舞	其实宝藏就和美人一样，让人无法舍弃，比如说因为美人，所以男女之事频烦频扰，所以爱愁聚来散去，此之谓自古红颜搏命。可真正仔细一想，这些生不带来死不带去的身外之物，真的那么重要么？	-1					
3116	九幽神君	昆仑自古便是修仙圣地，与蜀中的蜀山仙剑派齐名。	-1					
3117	练霓裳	我从南方追踪到此，不知能否遇到我的爱郎？	-1					
3118	何足道	"我昆仑派，内分八派，这次其中的昆仑琼华派,派门下弟子与我共赴大都，参加武林大会。"	-1					
3119	马车夫赵西四	不要被看来容易的道路所迷惑，因为只有划破脚的坎坷路才是人生惟一向前的道路。	-1	300412|300413|300414|300416|300417|300418|300419|300420|300421|300447|300448|300449|300450|300451|300452|300453				
3120	跌打师傅任仲	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1	300411				
3121	风火连城	一从大地起风雷，便有精生白骨堆。今日欢呼孙大圣，只缘妖雾又重来！	-1					
3122	玉罗刹	我们红巾会乃总舵主陆秀夫一手创建，当年崖山一役陆总舵主背负幼帝投海，后幸被渔民救起，然宋室终亡。陆总舵主遂联合江湖忠君爱国之人，创建红巾会，发誓定要驱逐蒙古，还我汉人河山。	-1					
3123	李庭芝	哎，年年天旱歉收，等我家贱内怀小七的时候，我就给他起名，叫“常遇春”，希望年年能够春天永驻，春雨贵如油！	-1	300100|700001				
3124	苏汉臣	如果我们红巾会能找到成吉思汗的宝藏，必将极大的有利于我们反元复宋的大业，而现在江湖传言，都说京城首富沈万三知道宝藏所在，看来只能从他身上打开缺口了。	-1					
3125	秦九韶	郭守敬大人是近百年来难得一见的推理术数能人，这第二十五卦的谶词：“北帝南臣，一兀自立。斡难河水，燕巢补麦。”在十三年前就被他推测出，讲的就是元朝建国的事。现在果真应验，真是神人！	-1					
3126	齐母怀文	二十五卦的歌诀曰：鼎足争雄事本奇，一狼二鼠判须臾。北关锁匙虽牢固，子子孙孙五五宜。其中的玄机当真是天机不可泄露？要是能请郭守敬大人给我们解读一下，对我们的反元大业，当真是十分有利！	-1					
3127	沧浪客	我原先的结义大哥，张弘范！为了荣华富贵投靠朝廷，出卖了兄弟！	-1					
3128	于东楼	张弘范那个狗贼，现在和赵王勾结在一起，要杀他更不容易下手了。	-1					
3129	方娥真	张弘范，你这个禽兽，我必将你碎尸万段！	-1					
3130	唐斩	因为江湖各派纷争不休，所以朝廷才召集大家来参加这次武林大会，划分山头的。	-1					
3131	温晚	沈万三寻的成吉思汗的宝藏后，大发横财，我一定要想办法逼他说出宝藏的下落，才不枉我石梁派温家夺宝的名声，哼哼！	-1					
3132	蒲寿更	沈万三老是缠着我，想学成为江南首富的秘诀，他现在控制了整条京杭大运河的水务，却还嫌生意不够大。这小子野心不小啊！	-1					
3133	黄道婆	我曾经把自己精心织的一床崖州被，送给一对铲奸除恶的骑雕的神仙眷侣，男的孤臂但不失潇洒，女的清澈脱俗，真是羡煞旁人！	-1					
3134	傅宗书	战争只是国家生活的一部分，国家的稳定，同样需要生产生活的发展。	-1					
3135	龟孙大爷	有钱时，我就是大爷；没钱时，我就是孙子了。。。	-1					
3136	司空摘	花满楼乃花小凤生死之交。他是一个和平主义者，俊秀而温文儒雅，但武功亦甚高强，“流云飞袖”与“闻声辨位”的武功乃江湖一绝。	-1					
3137	梦枕蝶	我的一位远房曾爷爷，在年轻时代欠下了一身风流债，结果我现在多出来很多姨奶奶。	-1					
3138	韩飞龙	说不得，说不得，玄机天注定，命数岂自分！哈哈！	-1					
3139	沈万三	都说我是因为发现了成吉思汗的宝藏才发家的。嗨，二十七年前我可还是个种地的，这期间的辛苦又有谁知？我只是善于发现机会并利用机会，比如这次郭守敬大人主修京杭大运河，对我来说，便又是一次发财的机会！	-1	300100|300303|700003				
3140	郭守敬	刘秉忠大人的同学张文谦，向朝廷推荐我时，曾赞扬我“习知水利，巧思绝人”。我一直把这句话当作自己的奋斗目标。	-1					
3141	柳激烟	君看双眼色，不语似无愁。浮云聚散，皆因尽心天意。	-1					
3142	凤姐	别人都说沈万三的财富，来自成吉思汗的宝藏。只有我知道，并非如此。	-1					
3143	谢小娥	这京杭大运河，北起大都，南至杭州，贯穿南北，每天货运无数。	-1					
3144	张驴儿	窦娥那粉脸，圆嘟嘟的，捏一把能捏出水来，嘿嘿！	-1					
3145	蔡婆	那个张驴儿一看就不是好东西，可怜我和娥儿相依为命，还要受这种恶霸欺辱。	-1	300100|300300				
3146	窦娥	不知何时才能和婆婆过上平静的日子？老天爷，为什么你总要让我们穷人受无尽的苦？	-1					
3147	沈概	我们沈家的先祖，北宋大科学家沈括，曾著有《梦溪笔谈》一书，详细的总结了当时的科学技术，是一本集大成之作。甚至有传言，真本中藏有当时梁山宋江排兵布阵的一页兵法，后来岳武穆正是得到这真本后，才写出的《武穆遗书》。哎可惜，我们沈家后人谁都没见过那本真本。	-1					
3148	沈三山	我们沈家是大都首富，现在整条京杭大运河上的运输，都被我们垄断了。	-1					
3149	李章武	这次朝廷召开武林大会，但是红巾会的总舵主陆秀夫号召大家共同抵制，并且召开由红巾会牵头的另一个武林大会。	-1					
3150	息红泪	我自小就不信命运，我想要的东西一定要拿到，我想办的事情一定要办到，即算是命中注定，我也一定要尽力挽回！	-1					
3151	戚少商	最近西域爆发了乃颜叛乱，我怀疑这跟拔都他们那伙人有关。	-1					
3152	顾惜朝	拔都的父亲术赤，身为成吉思汗的长子却未继承天可汗的宝座，拔都对此事怀恨已久。	-1					
3153	浦铁	大都的夜生活，可是极其丰富的噢！如果你想进一步了解，我可以倾囊相授。	-1					
3154	赫连春水	如果想在平淡的生活中，寻找不寻常的亮色，请来找我。	-1					
3155	雷卷	在我这里选一件能秀出自己本色的衣服吧！	-1					
3156	钟嗣成	"写鬼写妖高人一筹,刺贪刺虐入骨三分。我就要当一名这样的小说家！"	-1					
3157	朱丹溪	医者仁心，从业为医，就要以救人作为自己的毕生事业。	-1					
3158	楚香帅	这次我们来大都，一为武林大会，二为成吉思汗的宝藏。作为一个盗帅，这第二点是最吸引我的。	-1	300300|300301				
3159	红袖	"楚香帅真可谓“万花丛中过,片叶不沾身”了。"	-1					
3160	青瑶	朝廷召开的武林大会和红巾会召开的武林大会，究竟是东风压倒西风，还是西风压倒东风呢？	-1					
3161	水芙蓉	人行于世，要走的坦荡荡，不带一点伤。	-1					
3162	孤独伊人	伊人风度翩翩，处处留香，月光山中幽幽亮。	-1					
3163	马车夫赵银桥	不要被看来容易的道路所迷惑，因为只有划破脚的坎坷路才是人生惟一向前的道路。	-1	300412|300413|300415|300416|300417|300418|300419|300420|300421|300447|300448|300449|300450|300451|300452|300453				
3164	跌打师傅任仲	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1	300411				
3165	朱五四	传说这北新桥镇着大都的海眼，真希望我能沾些帝王之气，好保佑家里的二亩地年年丰收。对了，这次婆娘在怀孕，这次我就给娃起名叫“重八”吧。	-1					
3166	古忠心	江湖上行走，就凭兄弟二字。	-1					
3167	月老	"缘由仙启,情自剑开。"	-1					
3168	玉竹	我觉得作为一个商人，追求利润是第一位的，你不赚钱就是在危害社稷和百姓。	-1					
3169	田乔	假如问我对同行有什么建议，我会说你应该自主研发，这种模式真的很赚钱。	-1					
3170	定雷	永远记住，现金为王，虚拟的财富无意义。	-1					
3171	章纯	人需要跳出自己成长的经历，变成一个全才。	-1					
3172	尚景	抬头一片天，何处有神仙？为何冥冥间，总似有前缘？	-1					
3173	紫杰	做一个平台，比做一份单独的生意，更重要！	-1					
3174	国理	准备做一件事之前，先要充分的了解它！	-1					
3175	招财	愤怒时不要做决定，正如不安全时不要轻易开启仓库。	-1					
3176	招福	愤怒时不要做决定，正如不安全时不要轻易开启仓库。	-1					
3177	招禄	愤怒时不要做决定，正如不安全时不要轻易开启仓库。	-1					
3178	招喜	愤怒时不要做决定，正如不安全时不要轻易开启仓库。	-1					
3179	马车夫赵鼓楼	不要被看来容易的道路所迷惑，因为只有划破脚的坎坷路才是人生惟一向前的道路。	-1	300413|300414|300415|300416|300417|300418|300419|300420|300421|300447|300448|300449|300450|300451|300452|300453				
3180	马车夫赵西	不要被看来容易的道路所迷惑，因为只有划破脚的坎坷路才是人生惟一向前的道路。	-1	300412|300413|300414|300415|300417|300418|300419|300420|300421|300447|300448|300449|300450|300451|300452|300453				
3181	跌打师傅任大	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1	300411				
3182	跌打师傅任季	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1	300411				
3183	刘魁梧	你应该小心提防靠近你的那些武士，才能保住自己的性命，他们的近战能力恐怖的可怕。	-1					
3184	毕府剑	在这个战乱的世界，能够多看到正义凛然的年轻的剑侠真开心。我们需要更多的勇士，完成征服天下的重任。	-1					
3185	孙庆之	没事不要去惹那些弓箭手，他们矫健的身躯，灵敏的动作和锐利的眼光，会刺透你的神经！	-1					
3186	凌震	掌握了先进的科学，就掌握了自己的命运。可以预见，世界即将进入火器时代。	-1					
3187	牛扣仁	世间众人，原都本性善良，却被内心私欲所利用，迷失自我。若能拨开迷雾，重归本性，便可进入随心所欲之境。	-1					
3188	弥识	先知是对人类社会或自然科学的大事有较早了解或准确预言的人。	-1					
3189	方边勉	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3190	赵喜儿	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3191	品兄弟	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3192	李乘风	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3193	明宇芳	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3194	于胜侯	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3195	阿鲁浑	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3196	金息寿	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3197	福人贵	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3198	练晚霓	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3199	赵飞虎	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3200	邹招弟	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3201	易中荣	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3202	龙老大	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3203	龙老二	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3204	龙老三	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3205	龙老四	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3206	卡扎菲	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	800002				
3207	内贾德	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	800016				
3208	李成衣	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	800004|800005				
3209	爱薛	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300338				
3210	爱玛仕	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300328|300329				
3211	佐但奴	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300330|300331				
3212	路易威邓	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300332|300333				
3213	范思者	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300334|300335				
3214	香乃儿	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300336|300337				
3215	布王三	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300322				
3216	宛铃儿	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300323				
3217	衣凌峰	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300324				
3218	周子旺	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300325				
3219	芝麻李	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300326				
3220	爱丽丝	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300327				
3221	明八达	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300346				
3222	艾什勒弗	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300345				
3223	苏真才	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300344				
3224	玉麒麟	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300342|300343				
3225	金麒麟	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1	300340|300341				
3226	赵来福	你想更好的享受生活，享受游戏带来的乐趣么？那就请来找我。	-1					
3227	妙高	菩提本无树，明镜亦非台，本来无一物，何处惹尘埃？	-1					
3228	神照上人	明月高悬照九州，神灯不灭永传人。	-1					
3229	风玲花	师父定于上元节把掌门铁指环交给我，可我…可我仍有心愿未了。	-1					
3230	周芷若	前几日一个算命的老爷爷，送给我两句诗，“芷兮帝子遭人妒，若烟若雾若飞仙”，你知道是什么意思么？	-1					
3231	孙相马	我的先祖孙阳，为秦穆公挑选骏马，为秦国富国强兵做出突出贡献，因功被封为“伯乐将军”。后先祖将其毕生经验总结成我国历史上第一部相马学著作——《伯乐相马经》流传至今。	-1	300311|300312|300313				
3232	段马王	我的曾祖父段景柱，是梁山好汉中唯一的相马高手，人称“金毛犬”。他曾在长城外寻得一匹好马，名叫“照夜玉狮子马”，浑身雪白，能日行千里。	-1					
3233	王恂	“天地之变，寒暑风雨，水旱螟蝗，率皆有法。”没有天象的观测，在中国这个指望老天爷吃饭的国度，更是不可想象的事情，所以，现在朝廷非常重视天象观测，希望我和莫逆之交郭守敬能制定出一部新的历法，为万民造福。	-1					
3234	怀过师太	花开花落花满天，情来情去情随缘。雁回雁归雁不散，潮起潮落潮不眠。	-1					
3235	缘灭	师父是位不苟言笑的人，而且每年她生日这天，她总会望着终南山方向发呆。	-1					
3236	缘绝	师父曾经多次带我们去终南山后山，在一处石门前，她总是徘徊良久。有一次，我还偷偷的看见师父落泪了呢！	-1					
3237	七星海棠	（望着远处）倘若这行足印是我留下的，我得能和风姑娘并肩而行……	-1					
3238	范遥	七星海棠兄弟心怀大志，武功高强。可现在为情所困，所以迟迟不愿加入我们明教，这可如何是好？	-1					
3239	诸葛神侯	"越是高手说话,越是应该低调。我就很低调，恩，低调。"	-1					
3240	胡笔来	成吉思汗死后，把自己四十年征战所得最贵重的一批财富，埋藏了起来，这就是最近江湖盛传的成吉思汗宝藏的来历。	-1					
3241	胡不愁	相传成吉思汗宝藏的藏宝图，被分成几分，保存在皇室，四大汗国和开国元勋手中。	-1					
3242	奔月	现在外部西域叛乱，内部四大汗国争位。难道好不容易得来的太平人间，又将毁于一旦？	-1					
3243	纪嫣然	当今圣上的太子早亡，皇太孙年幼，所以四大汗国对天可汗皇位，都是虎视眈眈。	-1					
3244	傅晚晴	我和白家兄妹自幼相识，一起受元好问叔叔的养育之恩。	-1					
3245	白明正	汴京城破，我们和母亲走失，幸好当时元好问叔叔把我和我哥哥白朴收留起来，在乱兵和饥荒中救了我们的性命。	-1					
3246	洪光	孙膑曾帮田忌巧妙布局，运用运筹原理，赢了齐威王的赛马比赛。	-1					
3247	运粮官	粮食是国家的根本，不允许有任何的疏忽！	-1	300304|300305				
3248	李御风	如果你想体验很黄很暴力，而不愿只做个很傻很天真的弱者，那就来我这里报名吧。	-1					
3249	铁人三项发令员	铁人三项不光是力量和耐力的考验，更是心理素质的较量。	-1	300200				
3250	铁人三项传递员一	铁人三项不光是力量和耐力的考验，更是心理素质的较量。	-1	300200				
3251	铁人三项传递员二	铁人三项不光是力量和耐力的考验，更是心理素质的较量。	-1	300200				
3252	铁人三项传递员三	铁人三项不光是力量和耐力的考验，更是心理素质的较量。	-1	300200				
3253	铁人三项传递员四	铁人三项不光是力量和耐力的考验，更是心理素质的较量。	-1	300200				
3254	铁人三项传递员五	铁人三项不光是力量和耐力的考验，更是心理素质的较量。	-1	300200				
3255	铁人三项传递员六	铁人三项不光是力量和耐力的考验，更是心理素质的较量。	-1	300200				
