INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
45	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270	2873	28270
46	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388	3019	30388
47	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617	3169	32617
48	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960	3314	34960
49	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420	3462	37420
50	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000	3615	40000
51	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703	4805	42703
52	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532	5009	45532
53	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490	5218	48490
54	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580	5433	51580
55	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805	5652	54805
56	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168	7438	58168
57	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672	7728	61672
58	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320	8024	65320
59	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115	8327	69115
60	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060	8635	73060
61	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158	11367	77158
62	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412	11775	81412
63	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825	12192	85825
64	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400	12616	90400
65	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140	13048	95140
66	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048	17099	100048
67	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127	17630	105127
68	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380	18170	110380
69	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810	18720	115810
70	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420	19278	121420
71	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213	24776	127213
72	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192	25496	133192
73	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360	26227	139360
74	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720	26970	145720
75	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275	27723	152275
76	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028	35292	159028
77	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982	36253	165982
78	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140	37165	173140
79	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505	38089	180505
80	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080	39026	188080
81	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868	49127	195868
82	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872	50310	203872
83	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095	51508	212095
84	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540	52722	220540
85	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210	53952	229210
