INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING
########	技能511	########	24501---24550		########	########												
24501	24501		1															
24502	24502		1															
24503	24503		1															
24504	24504		1															
24505	24505		1															
########	########	########	########	########	########	########												
																		
########	技能512	########	24551---24600		########	########												
24551	24551		1															
24552	24552		1															
24553	24553		1															
24554	24554		1															
24555	24555		1															
24556	24556		1															
24557	24557		1															
24558	24558		1															
24559	24559		1															
24560	24560		1															
24561	24561		1															
24562	24562		1															
24563	24563		1															
24564	24564		1															
24565	24565		1															
########	########	########	########	########	########	########												
																		
########	技能513	########	24601---24650		########	########												
24601	24601		1															
24602	24602		1															
24603	24603		1															
24604	24604		1															
24605	24605		1															
########	########	########	########	########	########	########												
																		
########	技能514	########	24651---24700		########	########												
24651	24651		1															
24652	24652		1															
24653	24653		1															
24654	24654		1															
24655	24655		1															
########	########	########	########	########	########	########												
																		
########	技能515	########	24701---24750		########	########												
24701	24701		1															
24702	24702		1															
24703	24703		1															
24704	24704		1															
24705	24705		1															
########	########	########	########	########	########	########												
																		
########	技能516	########	24751---24800		########	########												
24751	24751		1															
24752	24752		1															
24753	24753		1															
24754	24754		1															
24755	24755		1															
########	########	########	########	########	########	########												
																		
########	技能517	########	24801---24850		########	########												
24801	24801		1															
24802	24802		1															
24803	24803		1															
24804	24804		1															
24805	24805		1															
########	########	########	########	########	########	########												
																		
########	技能518	########	24851---24900		########	########												
24851	24851		1															
24852	24852		1															
24853	24853		1															
24854	24854		1															
24855	24855		1															
########	########	########	########	########	########	########												
																		
########	技能519	########	24901---24950		########	########												
24901	24901		1															
24902	24902		1															
24903	24903		1															
24904	24904		1															
24905	24905		1															
########	########	########	########	########	########	########												
																		
########	技能520	########	24951---25000		########	########												
24951	24951		1															
24952	24952		1															
24953	24953		1															
24954	24954		1															
24955	24955		1															
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	气武当技	25001---26000		########														
########	########	########	########	########														
																		
########	技能601	########	25001---25050		########	########												
25001	25001		1															
25002	25002		1															
25003	25003		1															
25004	25004		1															
25005	25005		1															
########	########	########	########	########	########	########												
																		
########	技能602	########	25051---25100		########	########												
25051	25051		1															
25052	25052		1															
25053	25053		1															
25054	25054		1															
25055	25055		1															
########	########	########	########	########	########	########												
																		
########	技能603	########	25101---25150		########	########												
25101	25101		1															
25102	25102		1															
25103	25103		1															
25104	25104		1															
25105	25105		1															
########	########	########	########	########	########	########												
																		
########	技能604	########	25151---25200		########	########												
25151	25151		1															
25152	25152		1															
25153	25153		1															
25154	25154		1															
25155	25155		1															
25156	25156		1															
25157	25157		1															
25158	25158		1															
25159	25159		1															
25160	25160		1															
########	########	########	########	########	########	########												
																		
########	技能605	########	25201---25250		########	########												
25201	25201		1															
25202	25202		1															
25203	25203		1															
25204	25204		1															
25205	25205		1															
########	########	########	########	########	########	########												
																		
########	技能606	########	25251---25300		########	########												
25251	25251		1															
25252	25252		1															
25253	25253		1															
25254	25254		1															
25255	25255		1															
########	########	########	########	########	########	########												
																		
########	技能607	########	25301---25350		########	########												
25301	25301		1															
25302	25302		1															
25303	25303		1															
25304	25304		1															
25305	25305		1															
########	########	########	########	########	########	########												
																		
########	技能608	########	25351---25400		########	########												
25351	25351		1															
25352	25352		1															
25353	25353		1															
25354	25354		1															
25355	25355		1															
########	########	########	########	########	########	########												
																		
########	技能609	########	25401---25450		########	########												
25401	25401		1															
25402	25402		1															
25403	25403		1															
25404	25404		1															
25405	25405		1															
########	########	########	########	########	########	########												
																		
########	技能610	########	25451---25500		########	########												
25451	25451		1															
25452	25452		1															
25453	25453		1															
25454	25454		1															
25455	25455		1															
########	########	########	########	########	########	########												
																		
########	技能611	########	25501---25550		########	########												
25501	25501		1															
25502	25502		1															
25503	25503		1															
25504	25504		1															
25505	25505		1															
########	########	########	########	########	########	########												
																		
########	技能612	########	25551---25600		########	########												
25551	25551		1															
25552	25552		1															
25553	25553		1															
25554	25554		1															
25555	25555		1															
########	########	########	########	########	########	########												
																		
########	技能613	########	25601---25650		########	########												
25601	25601		1															
25602	25602		1															
25603	25603		1															
25604	25604		1															
25605	25605		1															
########	########	########	########	########	########	########												
																		
########	技能614	########	25651---25700		########	########												
25651	25651		1															
25652	25652		1															
25653	25653		1															
25654	25654		1															
25655	25655		1															
25656	25656		1															
25657	25657		1															
25658	25658		1															
25659	25659		1															
25660	25660		1															
########	########	########	########	########	########	########												
																		
########	技能615	########	25701---25750		########	########												
25701	25701		1															
25702	25702		1															
25703	25703		1															
25704	25704		1															
25705	25705		1															
########	########	########	########	########	########	########												
																		
########	技能616	########	25751---25800		########	########												
25751	25751		1															
25752	25752		1															
25753	25753		1															
25754	25754		1															
25755	25755		1															
########	########	########	########	########	########	########												
																		
########	技能617	########	25801---25850		########	########												
25801	25801		1															
25802	25802		1															
25803	25803		1															
25804	25804		1															
25805	25805		1															
########	########	########	########	########	########	########												
																		
########	技能618	########	25851---25900		########	########												
25851	25851		1															
25852	25852		1															
25853	25853		1															
25854	25854		1															
25855	25855		1															
########	########	########	########	########	########	########												
																		
########	技能619	########	25901---25950		########	########												
25901	25901		1															
25902	25902		1															
25903	25903		1															
25904	25904		1															
25905	25905		1															
########	########	########	########	########	########	########												
																		
########	技能620	########	25951---26000		########	########												
25951	25951		1															
25952	25952		1															
25953	25953		1															
25954	25954		1															
25955	25955		1															
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	刀唐技能	26001---27000		########														
########	########	########	########	########														
																		
########	技能701	########	26001---26050		########	########												
26001	26001		1															
26002	26002		1															
26003	26003		1															
26004	26004		1															
26005	26005		1															
########	########	########	########	########	########	########												
																		
########	技能702	########	26051---26100		########	########												
26051	26051		1															
26052	26052		1															
26053	26053		1															
26054	26054		1															
26055	26055		1															
26056	26056		1															
26057	26057		1															
26058	26058		1															
26059	26059		1															
26060	26060		1															
########	########	########	########	########	########	########												
																		
########	技能703	########	26101---26150		########	########												
26101	26101		1															
26102	26102		1															
26103	26103		1															
26104	26104		1															
26105	26105		1															
########	########	########	########	########	########	########												
																		
########	技能704	########	26151---26200		########	########												
26151	26151		1															
26152	26152		1															
26153	26153		1															
26154	26154		1															
26155	26155		1															
26156	26156		1															
26157	26157		1															
26158	26158		1															
26159	26159		1															
26160	26160		1															
########	########	########	########	########	########	########												
																		
########	技能705	########	26201---26250		########	########												
26201	26201		1															
26202	26202		1															
26203	26203		1															
26204	26204		1															
26205	26205		1															
########	########	########	########	########	########	########												
																		
########	技能706	########	26251---26300		########	########												
26251	26251		1															
26252	26252		1															
26253	26253		1															
26254	26254		1															
26255	26255		1															
26256	26256		1															
26257	26257		1															
26258	26258		1															
26259	26259		1															
26260	26260		1															
########	########	########	########	########	########	########												
																		
########	技能707	########	26301---26350		########	########												
26301	26301		1															
26302	26302		1															
26303	26303		1															
26304	26304		1															
26305	26305		1															
########	########	########	########	########	########	########												
																		
########	技能708	########	26351---26400		########	########												
26351	26351		1															
26352	26352		1															
26353	26353		1															
26354	26354		1															
26355	26355		1															
########	########	########	########	########	########	########												
																		
########	技能709	########	26401---26450		########	########												
26401	26401		1															
26402	26402		1															
26403	26403		1															
26404	26404		1															
26405	26405		1															
########	########	########	########	########	########	########												
																		
########	技能710	########	26451---26500		########	########												
26451	26451		1															
26452	26452		1															
26453	26453		1															
26454	26454		1															
26455	26455		1															
########	########	########	########	########	########	########												
																		
########	技能711	########	26501---26550		########	########												
26501	26501		1															
26502	26502		1															
26503	26503		1															
26504	26504		1															
26505	26505		1															
########	########	########	########	########	########	########												
																		
########	技能712	########	26551---26600		########	########												
26551	26551		1															
26552	26552		1															
26553	26553		1															
26554	26554		1															
26555	26555		1															
########	########	########	########	########	########	########												
																		
########	技能713	########	26601---26650		########	########												
26601	26601		1															
26602	26602		1															
26603	26603		1															
26604	26604		1															
26605	26605		1															
########	########	########	########	########	########	########												
																		
########	技能714	########	26651---26700		########	########												
26651	26651		1															
26652	26652		1															
26653	26653		1															
26654	26654		1															
26655	26655		1															
########	########	########	########	########	########	########												
																		
########	技能715	########	26701---26750		########	########												
26701	26701		1															
26702	26702		1															
26703	26703		1															
26704	26704		1															
26705	26705		1															
########	########	########	########	########	########	########												
																		
########	技能716	########	26751---26800		########	########												
26751	26751		1															
26752	26752		1															
26753	26753		1															
26754	26754		1															
26755	26755		1															
########	########	########	########	########	########	########												
																		
########	技能717	########	26801---26850		########	########												
26801	26801		1															
26802	26802		1															
26803	26803		1															
26804	26804		1															
26805	26805		1															
########	########	########	########	########	########	########												
																		
########	技能718	########	26851---26900		########	########												
26851	26851		1															
26852	26852		1															
26853	26853		1															
26854	26854		1															
26855	26855		1															
########	########	########	########	########	########	########												
																		
########	技能719	########	26901---26950		########	########												
26901	26901		1															
26902	26902		1															
26903	26903		1															
26904	26904		1															
26905	26905		1															
########	########	########	########	########	########	########												
																		
########	技能720	########	26951---27000		########	########												
26951	26951		1															
26952	26952		1															
26953	26953		1															
26954	26954		1															
26955	26955		1															
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	陷阱唐技	27001---28000		########														
########	########	########	########	########														
																		
########	技能801	########	27001---27050		########	########												
27001	27001		1															
27002	27002		1															
27003	27003		1															
27004	27004		1															
27005	27005		1															
########	########	########	########	########	########	########												
																		
########	技能802	########	27051---27100		########	########												
27051	27051		1															
27052	27052		1															
27053	27053		1															
27054	27054		1															
27055	27055		1															
########	########	########	########	########	########	########												
																		
########	技能803	########	27101---27150		########	########												
27101	27101		1															
27102	27102		1															
27103	27103		1															
27104	27104		1															
27105	27105		1															
########	########	########	########	########	########	########												
																		
########	技能804	########	27151---27200		########	########												
27151	27151		1															
27152	27152		1															
27153	27153		1															
27154	27154		1															
27155	27155		1															
########	########	########	########	########	########	########												
																		
########	技能805	########	27201---27250		########	########												
27201	27201		1															
27202	27202		1															
27203	27203		1															
27204	27204		1															
27205	27205		1															
########	########	########	########	########	########	########												
																		
########	技能806	########	27251---27300		########	########												
27251	27251		1															
27252	27252		1															
27253	27253		1															
27254	27254		1															
27255	27255		1															
########	########	########	########	########	########	########												
																		
########	技能807	########	27301---27350		########	########												
27301	27301		1															
27302	27302		1															
27303	27303		1															
27304	27304		1															
27305	27305		1															
########	########	########	########	########	########	########												
																		
########	技能808	########	27351---27400		########	########												
27351	27351		1															
27352	27352		1															
27353	27353		1															
27354	27354		1															
27355	27355		1															
########	########	########	########	########	########	########												
																		
########	技能809	########	27401---27450		########	########												
27401	27401		1															
27402	27402		1															
27403	27403		1															
27404	27404		1															
27405	27405		1															
27406	27406		1															
27407	27407		1															
27408	27408		1															
27409	27409		1															
27410	27410		1															
########	########	########	########	########	########	########												
																		
########	技能810	########	27451---27500		########	########												
27451	27451		1															
27452	27452		1															
27453	27453		1															
27454	27454		1															
27455	27455		1															
########	########	########	########	########	########	########												
																		
########	技能811	########	27501---27550		########	########												
27501	27501		1															
27502	27502		1															
27503	27503		1															
27504	27504		1															
27505	27505		1															
########	########	########	########	########	########	########												
																		
########	技能812	########	27551---27600		########	########												
27551	27551		1															
27552	27552		1															
27553	27553		1															
27554	27554		1															
27555	27555		1															
########	########	########	########	########	########	########												
																		
########	技能813	########	27601---27650		########	########												
27601	27601		1															
27602	27602		1															
27603	27603		1															
27604	27604		1															
27605	27605		1															
########	########	########	########	########	########	########												
																		
########	技能814	########	27651---27700		########	########												
27651	27651		1															
27652	27652		1															
27653	27653		1															
27654	27654		1															
27655	27655		1															
########	########	########	########	########	########	########												
																		
########	技能815	########	27701---27750		########	########												
27701	27701		1															
27702	27702		1															
27703	27703		1															
27704	27704		1															
27705	27705		1															
########	########	########	########	########	########	########												
																		
########	技能816	########	27751---27800		########	########												
27751	27751		1															
27752	27752		1															
27753	27753		1															
27754	27754		1															
27755	27755		1															
########	########	########	########	########	########	########												
																		
########	技能817	########	27801---27850		########	########												
27801	27801		1															
27802	27802		1															
27803	27803		1															
27804	27804		1															
27805	27805		1															
27806	27806		1															
27807	27807		1															
27808	27808		1															
27809	27809		1															
27810	27810		1															
########	########	########	########	########	########	########												
																		
########	技能818	########	27851---27900		########	########												
27851	27851		1															
27852	27852		1															
27853	27853		1															
27854	27854		1															
27855	27855		1															
########	########	########	########	########	########	########												
																		
########	技能819	########	27901---27950		########	########												
27901	27901		1															
27902	27902		1															
27903	27903		1															
27904	27904		1															
27905	27905		1															
########	########	########	########	########	########	########												
																		
########	技能820	########	27951---28000		########	########												
27951	27951		1															
27952	27952		1															
27953	27953		1															
27954	27954		1															
27955	27955		1															
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	扇逍遥技	28001---29000		########														
########	########	########	########	########														
																		
########	技能901	########	28001---28050		########	########												
28001	28001		1															
28002	28002		1															
28003	28003		1															
28004	28004		1															
28005	28005		1															
########	########	########	########	########	########	########												
																		
########	技能902	########	28051---28100		########	########												
28051	28051		1															
28052	28052		1															
28053	28053		1															
28054	28054		1															
28055	28055		1															
########	########	########	########	########	########	########												
																		
########	技能903	########	28101---28150		########	########												
28101	28101		1															
28102	28102		1															
28103	28103		1															
28104	28104		1															
28105	28105		1															
########	########	########	########	########	########	########												
																		
########	技能904	########	28151---28200		########	########												
28151	28151		1															
28152	28152		1															
28153	28153		1															
28154	28154		1															
28155	28155		1															
########	########	########	########	########	########	########												
																		
########	技能905	########	28201---28250		########	########												
28201	28201		1															
28202	28202		1															
28203	28203		1															
28204	28204		1															
28205	28205		1															
########	########	########	########	########	########	########												
																		
########	技能906	########	28251---28300		########	########												
28251	28251		1															
28252	28252		1															
28253	28253		1															
28254	28254		1															
28255	28255		1															
########	########	########	########	########	########	########												
																		
########	技能907	########	28301---28350		########	########												
28301	28301		1															
28302	28302		1															
28303	28303		1															
28304	28304		1															
28305	28305		1															
########	########	########	########	########	########	########												
																		
########	技能908	########	28351---28400		########	########												
28351	28351		1															
28352	28352		1															
28353	28353		1															
28354	28354		1															
28355	28355		1															
########	########	########	########	########	########	########												
																		
########	技能909	########	28401---28450		########	########												
28401	28401		1															
28402	28402		1															
28403	28403		1															
28404	28404		1															
28405	28405		1															
########	########	########	########	########	########	########												
																		
########	技能910	########	28451---28500		########	########												
28451	28451		1															
28452	28452		1															
28453	28453		1															
28454	28454		1															
28455	28455		1															
########	########	########	########	########	########	########												
																		
########	技能911	########	28501---28550		########	########												
28501	28501		1															
28502	28502		1															
28503	28503		1															
28504	28504		1															
28505	28505		1															
########	########	########	########	########	########	########												
																		
########	技能912	########	28551---28600		########	########												
28551	28551		1															
28552	28552		1															
28553	28553		1															
28554	28554		1															
28555	28555		1															
########	########	########	########	########	########	########												
																		
########	技能913	########	28601---28650		########	########												
28601	28601		1															
28602	28602		1															
28603	28603		1															
28604	28604		1															
28605	28605		1															
########	########	########	########	########	########	########												
																		
########	技能914	########	28651---28700		########	########												
28651	28651		1															
28652	28652		1															
28653	28653		1															
28654	28654		1															
28655	28655		1															
########	########	########	########	########	########	########												
																		
########	技能915	########	28701---28750		########	########												
28701	28701		1															
28702	28702		1															
28703	28703		1															
28704	28704		1															
28705	28705		1															
########	########	########	########	########	########	########												
																		
########	技能916	########	28751---28800		########	########												
28751	28751		1															
28752	28752		1															
28753	28753		1															
28754	28754		1															
28755	28755		1															
########	########	########	########	########	########	########												
																		
########	技能917	########	28801---28850		########	########												
28801	28801		1															
28802	28802		1															
28803	28803		1															
28804	28804		1															
28805	28805		1															
########	########	########	########	########	########	########												
																		
########	技能918	########	28851---28900		########	########												
28851	28851		1															
28852	28852		1															
28853	28853		1															
28854	28854		1															
28855	28855		1															
########	########	########	########	########	########	########												
																		
########	技能919	########	28901---28950		########	########												
28901	28901		1															
28902	28902		1															
28903	28903		1															
28904	28904		1															
28905	28905		1															
########	########	########	########	########	########	########												
																		
########	技能920	########	28951---29000		########	########												
28951	28951		1															
28952	28952		1															
28953	28953		1															
28954	28954		1															
28955	28955		1															
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	指逍遥技	29001---30000		########														
########	########	########	########	########														
																		
########	技能1001	########	29001---29050		########	########												
29001	29001		1															
29002	29002		1															
29003	29003		1															
29004	29004		1															
29005	29005		1															
########	########	########	########	########	########	########												
																		
########	技能1002	########	29051---29100		########	########												
29051	29051		1															
29052	29052		1															
29053	29053		1															
29054	29054		1															
29055	29055		1															
29056	29056		1															
29057	29057		1															
29058	29058		1															
29059	29059		1															
29060	29060		1															
########	########	########	########	########	########	########												
																		
########	技能1003	########	29101---29150		########	########												
29101	29101		1															
29102	29102		1															
29103	29103		1															
29104	29104		1															
29105	29105		1															
########	########	########	########	########	########	########												
																		
########	技能1004	########	29151---29200		########	########												
29151	29151		1															
29152	29152		1															
29153	29153		1															
29154	29154		1															
29155	29155		1															
29156	29156		1															
29157	29157		1															
29158	29158		1															
29159	29159		1															
29160	29160		1															
########	########	########	########	########	########	########												
																		
########	技能1005	########	29201---29250		########	########												
29201	29201		1															
29202	29202		1															
29203	29203		1															
29204	29204		1															
29205	29205		1															
########	########	########	########	########	########	########												
																		
########	技能1006	########	29251---29300		########	########												
29251	29251		1															
29252	29252		1															
29253	29253		1															
29254	29254		1															
29255	29255		1															
29256	29256		1															
29257	29257		1															
29258	29258		1															
29259	29259		1															
29260	29260		1															
########	########	########	########	########	########	########												
																		
########	技能1007	########	29301---29350		########	########												
29301	29301		1															
29302	29302		1															
29303	29303		1															
29304	29304		1															
29305	29305		1															
########	########	########	########	########	########	########												
																		
########	技能1008	########	29351---29400		########	########												
29351	29351		1															
29352	29352		1															
29353	29353		1															
29354	29354		1															
29355	29355		1															
########	########	########	########	########	########	########												
																		
########	技能1009	########	29401---29450		########	########												
29401	29401		1															
29402	29402		1															
29403	29403		1															
29404	29404		1															
29405	29405		1															
########	########	########	########	########	########	########												
																		
########	技能1010	########	29451---29500		########	########												
29451	29451		1															
29452	29452		1															
29453	29453		1															
29454	29454		1															
29455	29455		1															
########	########	########	########	########	########	########												
																		
########	技能1011	########	29501---29550		########	########												
29501	29501		1															
29502	29502		1															
29503	29503		1															
29504	29504		1															
29505	29505		1															
########	########	########	########	########	########	########												
																		
########	技能1012	########	29551---29600		########	########												
29551	29551		1															
29552	29552		1															
29553	29553		1															
29554	29554		1															
29555	29555		1															
########	########	########	########	########	########	########												
																		
########	技能1013	########	29601---29650		########	########												
29601	29601		1															
29602	29602		1															
29603	29603		1															
29604	29604		1															
29605	29605		1															
########	########	########	########	########	########	########												
																		
########	技能1014	########	29651---29700		########	########												
29651	29651		1															
29652	29652		1															
29653	29653		1															
29654	29654		1															
29655	29655		1															
########	########	########	########	########	########	########												
																		
########	技能1015	########	29701---29750		########	########												
29701	29701		1															
29702	29702		1															
29703	29703		1															
29704	29704		1															
29705	29705		1															
29706	29706		1															
29707	29707		1															
29708	29708		1															
29709	29709		1															
29710	29710		1															
########	########	########	########	########	########	########												
																		
########	技能1016	########	29751---29800		########	########												
29751	29751		1															
29752	29752		1															
29753	29753		1															
29754	29754		1															
29755	29755		1															
########	########	########	########	########	########	########												
																		
########	技能1017	########	29801---29850		########	########												
29801	29801		1															
29802	29802		1															
29803	29803		1															
29804	29804		1															
29805	29805		1															
########	########	########	########	########	########	########												
																		
########	技能1018	########	29851---29900		########	########												
29851	29851		1															
29852	29852		1															
29853	29853		1															
29854	29854		1															
29855	29855		1															
########	########	########	########	########	########	########												
																		
########	技能1019	########	29901---29950		########	########												
29901	29901		1															
29902	29902		1															
29903	29903		1															
29904	29904		1															
29905	29905		1															
########	########	########	########	########	########	########												
																		
########	技能1020	########	29951---30000		########	########												
29951	29951		1															
29952	29952		1															
29953	29953		1															
29954	29954		1															
29955	29955		1															
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	狂药王技	30001---31000		########														
########	########	########	########	########														
																		
########	技能1101	########	30001---30050		########	########												
30001	30001		1															
30002	30002		1															
30003	30003		1															
30004	30004		1															
30005	30005		1															
########	########	########	########	########	########	########												
																		
########	技能1102	########	30051---30100		########	########												
30051	30051		1															
30052	30052		1															
30053	30053		1															
30054	30054		1															
30055	30055		1															
########	########	########	########	########	########	########												
																		
########	技能1103	########	30101---30150		########	########												
30101	30101		1															
30102	30102		1															
30103	30103		1															
30104	30104		1															
30105	30105		1															
########	########	########	########	########	########	########												
																		
########	技能1104	########	30151---30200		########	########												
30151	30151		1															
30152	30152		1															
30153	30153		1															
30154	30154		1															
30155	30155		1															
########	########	########	########	########	########	########												
																		
########	技能1105	########	30201---30250		########	########												
30201	30201		1															
30202	30202		1															
30203	30203		1															
30204	30204		1															
30205	30205		1															
########	########	########	########	########	########	########												
																		
########	技能1106	########	30251---30300		########	########												
30251	30251		1															
30252	30252		1															
30253	30253		1															
30254	30254		1															
30255	30255		1															
30256	30256		1															
30257	30257		1															
30258	30258		1															
30259	30259		1															
30260	30260		1															
########	########	########	########	########	########	########												
																		
########	技能1107	########	30301---30350		########	########												
30301	30301		1															
30302	30302		1															
30303	30303		1															
30304	30304		1															
30305	30305		1															
########	########	########	########	########	########	########												
																		
########	技能1108	########	30351---30400		########	########												
30351	30351		1															
30352	30352		1															
30353	30353		1															
30354	30354		1															
30355	30355		1															
########	########	########	########	########	########	########												
																		
########	技能1109	########	30401---30450		########	########												
30401	30401		1															
30402	30402		1															
30403	30403		1															
30404	30404		1															
30405	30405		1															
########	########	########	########	########	########	########												
																		
########	技能1110	########	30451---30500		########	########												
30451	30451		1															
30452	30452		1															
30453	30453		1															
30454	30454		1															
30455	30455		1															
30456	30456		1															
30457	30457		1															
30458	30458		1															
30459	30459		1															
30460	30460		1															
########	########	########	########	########	########	########												
																		
########	技能1111	########	30501---30550		########	########												
30501	30501		1															
30502	30502		1															
30503	30503		1															
30504	30504		1															
30505	30505		1															
########	########	########	########	########	########	########												
																		
########	技能1112	########	30551---30600		########	########												
30551	30551		1															
30552	30552		1															
30553	30553		1															
30554	30554		1															
30555	30555		1															
########	########	########	########	########	########	########												
																		
########	技能1113	########	30601---30650		########	########												
30601	30601		1															
30602	30602		1															
30603	30603		1															
30604	30604		1															
30605	30605		1															
########	########	########	########	########	########	########												
																		
########	技能1114	########	30651---30700		########	########												
30651	30651		1															
30652	30652		1															
30653	30653		1															
30654	30654		1															
30655	30655		1															
30656	30656		1															
30657	30657		1															
30658	30658		1															
30659	30659		1															
30660	30660		1															
30661	30661		1															
30662	30662		1															
30663	30663		1															
30664	30664		1															
30665	30665		1															
30666	30666		1															
30667	30667		1															
30668	30668		1															
30669	30669		1															
30670	30670		1															
########	########	########	########	########	########	########												
																		
########	技能1115	########	30701---30750		########	########												
30701	30701		1															
30702	30702		1															
30703	30703		1															
30704	30704		1															
30705	30705		1															
########	########	########	########	########	########	########												
																		
########	技能1116	########	30751---30800		########	########												
30751	30751		1															
30752	30752		1															
30753	30753		1															
30754	30754		1															
30755	30755		1															
########	########	########	########	########	########	########												
																		
########	技能1117	########	30801---30850		########	########												
30801	30801		1															
30802	30802		1															
30803	30803		1															
30804	30804		1															
30805	30805		1															
########	########	########	########	########	########	########												
																		
########	技能1118	########	30851---30900		########	########												
30851	30851		1															
30852	30852		1															
30853	30853		1															
30854	30854		1															
30855	30855		1															
########	########	########	########	########	########	########												
																		
########	技能1119	########	30901---30950		########	########												
30901	30901		1															
30902	30902		1															
30903	30903		1															
30904	30904		1															
30905	30905		1															
########	########	########	########	########	########	########												
																		
########	技能1120	########	30951---31000		########	########												
30951	30951		1															
30952	30952		1															
30953	30953		1															
30954	30954		1															
30955	30955		1															
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	医药王技	31001---32000		########														
########	########	########	########	########														
																		
########	技能1201	########	31001---31050		########	########												
31001	31001		1															
31002	31002		1															
31003	31003		1															
31004	31004		1															
31005	31005		1															
########	########	########	########	########	########	########												
																		
########	技能1202	########	31051---31100		########	########												
31051	31051		1															
31052	31052		1															
31053	31053		1															
31054	31054		1															
31055	31055		1															
31056	31056		1															
31057	31057		1															
31058	31058		1															
31059	31059		1															
31060	31060		1															
########	########	########	########	########	########	########												
																		
########	技能1203	########	31101---31150		########	########												
31101	31101		1															
31102	31102		1															
31103	31103		1															
31104	31104		1															
31105	31105		1															
########	########	########	########	########	########	########												
																		
########	技能1204	########	31151---31200		########	########												
31151	31151		1															
31152	31152		1															
31153	31153		1															
31154	31154		1															
31155	31155		1															
########	########	########	########	########	########	########												
																		
########	技能1205	########	31201---31250		########	########												
31201	31201		1															
31202	31202		1															
31203	31203		1															
31204	31204		1															
31205	31205		1															
########	########	########	########	########	########	########												
																		
########	技能1206	########	31251---31300		########	########												
31251	31251		1															
31252	31252		1															
31253	31253		1															
31254	31254		1															
31255	31255		1															
########	########	########	########	########	########	########												
																		
########	技能1207	########	31301---31350		########	########												
31301	31301		1															
31302	31302		1															
31303	31303		1															
31304	31304		1															
31305	31305		1															
########	########	########	########	########	########	########												
																		
########	技能1208	########	31351---31400		########	########												
31351	31351		1															
31352	31352		1															
31353	31353		1															
31354	31354		1															
31355	31355		1															
########	########	########	########	########	########	########												
																		
########	技能1209	########	31401---31450		########	########												
31401	31401		1															
31402	31402		1															
31403	31403		1															
31404	31404		1															
31405	31405		1															
########	########	########	########	########	########	########												
																		
########	技能1210	########	31451---31500		########	########												
31451	31451		1															
31452	31452		1															
31453	31453		1															
31454	31454		1															
31455	31455		1															
########	########	########	########	########	########	########												
																		
########	技能1211	########	31501---31550		########	########												
31501	31501		1															
31502	31502		1															
31503	31503		1															
31504	31504		1															
31505	31505		1															
########	########	########	########	########	########	########												
																		
########	技能1212	########	31551---31600		########	########												
31551	31551		1															
31552	31552		1															
31553	31553		1															
31554	31554		1															
31555	31555		1															
########	########	########	########	########	########	########												
																		
########	技能1213	########	31601---31650		########	########												
31601	31601		1															
31602	31602		1															
31603	31603		1															
31604	31604		1															
31605	31605		1															
########	########	########	########	########	########	########												
																		
########	技能1214	########	31651---31700		########	########												
31651	31651		1															
31652	31652		1															
31653	31653		1															
31654	31654		1															
31655	31655		1															
########	########	########	########	########	########	########												
																		
########	技能1215	########	31701---31750		########	########												
31701	31701		1															
31702	31702		1															
31703	31703		1															
31704	31704		1															
31705	31705		1															
########	########	########	########	########	########	########												
																		
########	技能1216	########	31751---31800		########	########												
31751	31751		1															
31752	31752		1															
31753	31753		1															
31754	31754		1															
31755	31755		1															
########	########	########	########	########	########	########												
																		
########	技能1217	########	31801---31850		########	########												
31801	31801		1															
31802	31802		1															
31803	31803		1															
31804	31804		1															
31805	31805		1															
########	########	########	########	########	########	########												
																		
########	技能1218	########	31851---31900		########	########												
31851	31851		1															
31852	31852		1															
31853	31853		1															
31854	31854		1															
31855	31855		1															
########	########	########	########	########	########	########												
																		
########	技能1219	########	31901---31950		########	########												
31901	31901		1															
31902	31902		1															
31903	31903		1															
31904	31904		1															
31905	31905		1															
########	########	########	########	########	########	########												
																		
########	技能1220	########	31951---32000		########	########												
31951	31951		1															
31952	31952		1															
31953	31953		1															
31954	31954		1															
31955	31955		1															
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	笛桃花技	32001---33000		########														
########	########	########	########	########														
																		
########	技能1301	########	32001---32050		########	########												
32001	32001		1															
32002	32002		1															
32003	32003		1															
32004	32004		1															
32005	32005		1															
########	########	########	########	########	########	########												
																		
########	技能1302	########	32051---32100		########	########												
32051	32051		1	WXSJ_skill_ditaohua_1_2			身体受击点			身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1303	########	32101---32150		########	########												
32101	32101		1															
32102	32102		1															
32103	32103		1															
32104	32104		1															
32105	32105		1															
########	########	########	########	########	########	########												
																		
########	技能1304	########	32151---32200		########	########												
32151	32151		1															
32152	32152		1															
32153	32153		1															
32154	32154		1															
32155	32155		1															
32156	32156		1															
32157	32157		1															
32158	32158		1															
32159	32159		1															
32160	32160		1															
########	########	########	########	########	########	########												
