INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	STRING	INT	INT	INT
2102	陈文桂	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2087	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	m			
2103	刘奎大	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2064	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	a			
2104	毕成剑	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2064	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	g			
2105	养游击	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2081	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	m			
2106	凌轰	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	h			
2107	句摩	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2036	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	h			
2108	弥连	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2036	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	l			
2109	方变分	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2020	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	c			
2110	品冠兄	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2033	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	z			
2111	李天青	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2037	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	x			
2112	明宇重	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2070	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	k			
2113	于秋生	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2036	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	y			
2114	李随风	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2022	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	y			
2115	金惜受	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	y			
2116	福曼声	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2066	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	m			
2117	练晚凝	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2065	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	a			
2118	赵飞龙	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2065	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	h			
2119	邹发妹	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2023	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	l			
2120	易荣冕	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2020	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	h			
2121	海亚姆	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2039	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	d			
2122	生财	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2039	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	k			
2123	生福	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2035	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	t			
2124	生禄	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2070	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	y			
2125	生喜	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2069	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	c			
2126	古称义	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2043	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	m			
2127	天姻缘	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2055	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	b			
2128	赵庆儿	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2069	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	h			
2129	阿法芙	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	z			
2130	巴巴穆司塔	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2025	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	s			
2131	弄衣	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2099	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	c			
2132	乌姆鲁勒	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2046	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	a			
2133	费一	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2047	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	a			
2134	张平江	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2056	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	y			
2135	刘文武	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2011	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	l			
2136	杨继祖	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2059	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	d			
2137	何四方	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2060	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	l			
2138	孙适马	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2036	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	x			
2139	段查马	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	g			
2140	王陶	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2094	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	c			
2141	龙老大	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2023	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	d			
2142	龙老二	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2056	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	c			
2143	龙老三	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2056	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	d			
2144	龙老四	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2056	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	z			
2145	苏贵才	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2056	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	z			
2146	刘行云	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2056	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	s			
2147	刘夸海	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2056	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	d			
2148	赵喜来	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2099	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	f			
2149	罗兰	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2053	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	t			
2150	左罗	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2057	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	b			
2151	匡威	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			3044	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	b			
2152	陈锐步	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2004	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	c			
2153	利助保	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2055	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	y			
2154	刘世义	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2056	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	s			
2155	袁同陶	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	z			
2156	阿明	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2025	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	g			
2157	陈志新	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2040	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	t			
2158	盖斯	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2086	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	t			
2159	伊本·穆格	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2088	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	m			
2160	霍里思社	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	z			
2161	卡西达	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2060	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	t			
2162	纳赛尔	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2082	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	t			
2163	艾敏	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2062	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	y			
2164	丁锻衣	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2049	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	b			
2165	洪九	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2020	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	z			
2166	麦根	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2033	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	z			
2167	基尔斯	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2023	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	l			
2168	银匠哈桑 	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2034	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	l			
2169	巴布亚	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2035	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	z			
2170	马车夫钱东	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			3024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	l			
2171	马车夫钱南	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			3024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	g			
2172	马车夫钱北	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			3024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	w			
2173	马车夫钱中	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			3024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	g			
2174	马车夫钱白	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			3024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	q			
2175	跌打师傅袁东	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2015	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	z			
2176	跌打师傅袁南	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2015	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	z			
2177	跌打师傅袁北	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2015	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	s			
2178	跌打师傅袁中	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2015	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	y			
2179	跌打师傅袁白	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2015	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	y			
2180	马车夫王东	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			3024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	m			
2181	马车夫王南	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			3024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	w			
2182	马车夫王北	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			3024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	y			
2183	马车夫王中	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			3024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	h			
2184	马车夫王白	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			3024	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	m			
2185	跌打师傅何东	1	10000	10	2	2	0	1		1	0	1		20	10	0	0	100	0	5		0	0	0	0		0	0	0	0			2015	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	200	1800	10	2000	1000	1800	0	-1	3	-1	20	1	1	0	0	-1	-1	20	1	-1	0									-1		1	功能	l			
