INT	STRING	INT	INT	INT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
400	大都，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10201101	1	-1	10201102	1	-1	10201103	1	-1	10201104	1	-1	10201105	1	-1	10201106	1	-1	10201107	1	-1	10201108	1	-1	10201109	1	-1	10201110	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	项链商店																																																																																																																																																																																																
450	大都，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10211101	1	-1	10211102	1	-1	10211103	1	-1	10211104	1	-1	10211105	1	-1	10211106	1	-1	10211107	1	-1	10211108	1	-1	10211109	1	-1	10211110	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	肩商店																																																																																																																																																																																																
500	大都，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10221101	1	-1	10221102	1	-1	10221103	1	-1	10221104	1	-1	10221105	1	-1	10221106	1	-1	10221107	1	-1	10221108	1	-1	10221109	1	-1	10221110	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	衣服商店																																																																																																																																																																																																
550	新手村，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10231001	1	-1	10231002	1	-1	10251001	1	-1	10251002	1	-1	10271001	1	-1	10271002	1	-1	10231003	1	-1	10231004	1	-1	10251003	1	-1	10251004	1	-1	10271003	1	1	10271004	1	1	12140001	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	护腕商店																																																																																																																																																																																																
600	大都，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10241101	1	-1	10241102	1	-1	10241103	1	-1	10241104	1	-1	10241105	1	-1	10241106	1	-1	10241107	1	-1	10241108	1	-1	10241109	1	-1	10241110	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	手套商店																																																																																																																																																																																																
650	大都，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10251101	1	-1	10251102	1	-1	10251103	1	-1	10251104	1	-1	10251105	1	-1	10251106	1	-1	10251107	1	-1	10251108	1	-1	10251109	1	-1	10251110	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	腰带商店																																																																																																																																																																																																
700	大都，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10261101	1	-1	10261102	1	-1	10261103	1	-1	10261104	1	-1	10261105	1	-1	10261106	1	-1	10261107	1	-1	10261108	1	-1	10261109	1	-1	10261110	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	鞋子商店																																																																																																																																																																																																
750	大都，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10271101	1	-1	10271102	1	-1	10271103	1	-1	10271104	1	-1	10271105	1	-1	10271106	1	-1	10271107	1	-1	10271108	1	-1	10271109	1	-1	10271110	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	戒指商店																																																																																																																																																																																																
800	大都，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10281101	1	-1	10281102	1	-1	10281103	1	-1	10281104	1	-1	10281105	1	-1	10281106	1	-1	10281107	1	-1	10281108	1	-1	10281109	1	-1	10281110	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	饰品商店																																																																																																																																																																																																
850	大都，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10291101	1	-1	10291102	1	-1	10291103	1	-1	10291104	1	-1	10291105	1	-1	10291106	1	-1	10291107	1	-1	10291108	1	-1	10291109	1	-1	10291110	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	杂货商店																																																																																																																																																																																																
900	大都，红，宝箱，钥匙	40	100	1	1	1	1	1	0	0	0	100000	60	12010001	1	-1	12010002	1	-1	12010003	1	-1	12010004	1	-1	12010005	1	-1	12010006	1	-1	12010007	1	-1	12010008	1	-1	12010009	1	-1	12010010	1	-1	12020001	1	-1	12020002	1	-1	12020003	1	-1	12020004	1	-1	12020005	1	-1	12020006	1	-1	12020007	1	-1	12020008	1	-1	12020009	1	-1	12020010	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	骑乘道具商店																																																																																																																																																																																																
950	大都，马悟性，快乐，根骨书	40	100	1	1	1	1	1	0	0	0	100000	60	12051000	1	-1	12051001	1	-1	12051002	1	-1	12051003	1	-1	12051004	1	-1	12051005	1	-1	12051006	1	-1	12051007	1	-1	12051008	1	-1	12051009	1	-1	12052000	1	-1	12052001	1	-1	12052002	1	-1	12052003	1	-1	12052004	1	-1	12052005	1	-1	12052006	1	-1	12052007	1	-1	12052008	1	-1	12052009	1	-1	12053000	1	-1	12053001	1	-1	12053002	1	-1	12053003	1	-1	12053004	1	-1	12053005	1	-1	12053006	1	-1	12053007	1	-1	12053008	1	-1	12053009	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
951	大都，马技能格子，技能一望，领悟书	40	100	1	1	1	1	1	0	0	0	100000	60	12054000	1	-1	12054001	1	-1	12054002	1	-1	12054003	1	-1	12054004	1	-1	12054005	1	-1	12054006	1	-1	12054007	1	-1	12054008	1	-1	12054009	1	-1	12055000	1	-1	12055001	1	-1	12055002	1	-1	12055003	1	-1	12055004	1	-1	12055005	1	-1	12055006	1	-1	12055007	1	-1	12055008	1	-1	12055009	1	-1	12056000	1	-1	12056001	1	-1	12056002	1	-1	12056003	1	-1	12056004	1	-1	12056005	1	-1	12056006	1	-1	12056007	1	-1	12056008	1	-1	12056009	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
952	大都，马主动技能，还童书	40	100	1	1	1	1	1	0	0	0	100000	60	12057000	1	-1	12057001	1	-1	12057002	1	-1	12057003	1	-1	12057004	1	-1	12057005	1	-1	12057006	1	-1	12057007	1	-1	12057008	1	-1	12057009	1	-1	12058000	1	-1	12058001	1	-1	12058002	1	-1	12058003	1	-1	12058004	1	-1	12058005	1	-1	12058006	1	-1	12058007	1	-1	12058008	1	-1	12058009	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	宝石商店																																																																																																																																																																																																
1000	搜侠录，多彩宝石商店	40	100	1	1	1	1	1	0	0	0	100000	60	10291001	1	-1	10291002	1	-1	10291003	1	-1	10291004	1	-1	10291005	1	-1	12110001	1	-1	12110002	1	-1	12110003	1	-1	12110004	1	-1	12114017	1	-1	12112002	1	-1	12112003	1	-1	12114416	1	-1	12112007	1	-1	12112010	1	-1	12116001	1	-1	12112012	1	-1	12114011	1	-1	12112017	1	-1	12114012	1	-1	12112102	1	-1	12114016	1	-1	12112107	1	-1	12112401	1	-1	12112402	1	-1	12114001	1	-1	12114002	1	-1	12114420	1	-1	12114419	1	-1	12114415	1	-1	12114410	1	-1	12114405	1	-1	12114320	1	1	12114315	1	1	12114310	1	1	12114305	1	1	12114220	1	1	12114215	1	1	12114210	1	1	12114205	1	1	12114120	1	1	12114115	1	1	12114110	1	1	12114105	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
1001	大都，红宝石	40	100	1	1	1	1	1	0	0	0	100000	60	14010001	1	-1	14010002	1	-1	14010003	1	-1	14010004	1	-1	14010005	1	-1	14010006	1	-1	14010007	1	-1	14010008	1	-1	14010009	1	-1	14010010	1	-1	14010011	1	-1	14010012	1	-1	14010013	1	-1	14010014	1	-1	14010015	1	-1	14010016	1	-1	14010017	1	-1	14010018	1	-1	14010019	1	-1	14010020	1	-1	14010021	1	-1	14010022	1	-1	14010023	1	-1	14010024	1	-1	14010025	1	-1	14010026	1	-1	14010027	1	-1	14010028	1	-1	14010029	1	-1	14010030	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
1002	大都，绿宝石	40	100	1	1	1	1	1	0	0	0	100000	60	14020001	1	-1	14020002	1	-1	14020003	1	-1	14020004	1	-1	14020005	1	-1	14020006	1	-1	14020007	1	-1	14020008	1	-1	14020009	1	-1	14020010	1	-1	14020011	1	-1	14020012	1	-1	14020013	1	-1	14020014	1	-1	14020015	1	-1	14020016	1	-1	14020017	1	-1	14020018	1	-1	14020019	1	-1	14020020	1	-1	14020021	1	-1	14020022	1	-1	14020023	1	-1	14020024	1	-1	14020025	1	-1	14020026	1	-1	14020027	1	-1	14020028	1	-1	14020029	1	-1	14020030	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
1003	大都，黄宝石	40	100	1	1	1	1	1	0	0	0	100000	60	14030001	1	-1	14030002	1	-1	14030003	1	-1	14030004	1	-1	14030005	1	-1	14030006	1	-1	14030007	1	-1	14030008	1	-1	14030009	1	-1	14030010	1	-1	14030011	1	-1	14030012	1	-1	14030013	1	-1	14030014	1	-1	14030015	1	-1	14030016	1	-1	14030017	1	-1	14030018	1	-1	14030019	1	-1	14030020	1	-1	14030021	1	-1	14030022	1	-1	14030023	1	-1	14030024	1	-1	14030025	1	-1	14030026	1	-1	14030027	1	-1	14030028	1	-1	14030029	1	-1	14030030	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
1004	大都，蓝宝石	40	100	1	1	1	1	1	0	0	0	100000	60	14040001	1	-1	14040002	1	-1	14040003	1	-1	14040004	1	-1	14040005	1	-1	14040006	1	-1	14040007	1	-1	14040008	1	-1	14040009	1	-1	14040010	1	-1	14040011	1	-1	14040012	1	-1	14040013	1	-1	14040014	1	-1	14040015	1	-1	14040016	1	-1	14040017	1	-1	14040018	1	-1	14040019	1	-1	14040020	1	-1	14040021	1	-1	14040022	1	-1	14040023	1	-1	14040024	1	-1	14040025	1	-1	14040026	1	-1	14040027	1	-1	14040028	1	-1	14040029	1	-1	14040030	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	打造材料商店																																																																																																																																																																																																
1050	大都，材料1，材料2	40	100	1	1	1	1	1	0	0	0	100000	60	11010001	1	-1	11010002	1	-1	11010003	1	-1	11010004	1	-1	11010005	1	-1	11010006	1	-1	11010007	1	-1	11010008	1	-1	11010009	1	-1	11010010	1	-1	11010011	1	-1	11010012	1	-1	11020001	1	-1	11020002	1	-1	11020003	1	-1	11020004	1	-1	11020005	1	-1	11020006	1	-1	11020007	1	-1	11020008	1	-1	11020009	1	-1	11020010	1	-1	11020011	1	-1	11020012	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	强化材料商店																																																																																																																																																																																																
1100	大都，除了麻将的	40	100	1	1	1	1	1	0	0	0	100000	60	11000001	1	-1	11000002	1	-1	11000003	1	-1	11000004	1	-1	11000005	1	-1	11000006	1	-1	11000007	1	-1	11970001	1	-1	11970011	1	-1	11970021	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
1101	大都，麻将强化	40	100	1	1	1	1	1	0	0	0	100000	60	11970021	1	-1	11980015	1	-1	11980016	1	-1	11980017	1	-1	11980018	1	-1	11980019	1	-1	11980020	1	-1	11980021	1	-1	11980031	1	-1	11980032	1	-1	11980033	1	-1	11980034	1	-1	11980035	1	-1	11980036	1	-1	11980037	1	-1	11980038	1	-1	11980039	1	-1	11980041	1	-1	11980042	1	-1	11980043	1	-1	11980044	1	-1	11980045	1	-1	11980046	1	-1	11980047	1	-1	11980048	1	-1	11980049	1	-1	11980051	1	-1	11980052	1	-1	11980053	1	-1	11980054	1	-1	11980055	1	-1	11980056	1	-1	11980057	1	-1	11980058	1	-1	11980059	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
