INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
106	910	28		120000	-1	-1	法力需求	1														SOT增加自己的物理防御	469	SOT的持续时间	60000	SOT增加对友的物理防御	187	SOT的buffID	4																	消耗气：1点{BR}瞬间释放{BR}冷却时间：2分钟{BR}强化阵法，自身物理防御增加469点，并影响周围队员，物理防御增加187点，持续60秒
107	911	28		120000	-1	-1	法力需求	1														SOT增加自己的物理防御	513	SOT的持续时间	60000	SOT增加对友的物理防御	205	SOT的buffID	4																	消耗气：1点{BR}瞬间释放{BR}冷却时间：2分钟{BR}强化阵法，自身物理防御增加513点，并影响周围队员，物理防御增加205点，持续60秒
108	912	28		120000	-1	-1	法力需求	1														SOT增加自己的物理防御	557	SOT的持续时间	60000	SOT增加对友的物理防御	222	SOT的buffID	4																	消耗气：1点{BR}瞬间释放{BR}冷却时间：2分钟{BR}强化阵法，自身物理防御增加557点，并影响周围队员，物理防御增加222点，持续60秒
109	1001	29		60000	-1	-1	法力需求	1														受效果影响的目标级别上限	12																							消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}舍身法门，吸引周围12级以下敌人
110	1002	29		60000	-1	-1	法力需求	1														受效果影响的目标级别上限	20																							消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}舍身法门，吸引周围20级以下敌人
111	1003	29		60000	-1	-1	法力需求	1														受效果影响的目标级别上限	28																							消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}舍身法门，吸引周围28级以下敌人
112	1004	29		60000	-1	-1	法力需求	1														受效果影响的目标级别上限	36																							消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}舍身法门，吸引周围36级以下敌人
113	1005	29		60000	-1	-1	法力需求	1														受效果影响的目标级别上限	44																							消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}舍身法门，吸引周围44级以下敌人
114	1006	29		60000	-1	-1	法力需求	1														受效果影响的目标级别上限	52																							消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}舍身法门，吸引周围52级以下敌人
115	1007	29		60000	-1	-1	法力需求	1														受效果影响的目标级别上限	60																							消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}舍身法门，吸引周围60级以下敌人
116	1008	29		60000	-1	-1	法力需求	1														受效果影响的目标级别上限	68																							消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}舍身法门，吸引周围68级以下敌人
117	1009	29		60000	-1	-1	法力需求	1														受效果影响的目标级别上限	76																							消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}舍身法门，吸引周围76级以下敌人
118	1010	29		60000	-1	-1	法力需求	1														受效果影响的目标级别上限	84																							消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}舍身法门，吸引周围84级以下敌人
119	1011	29		60000	-1	-1	法力需求	1														受效果影响的目标级别上限	92																							消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}舍身法门，吸引周围92级以下敌人
120	1012	29		60000	-1	-1	法力需求	1														受效果影响的目标级别上限	100																							消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}舍身法门，吸引周围100级以下敌人
121	1101	30		240000	-1	-1	法力需求	1														效果的持续时间	60000	冰火电毒4防的修改量	2	效果的buffID	5																			消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}高级强化，增强自身所有属性抗性2点，持续60秒
122	1102	30		240000	-1	-1	法力需求	1														效果的持续时间	60000	冰火电毒5防的修改量	4	效果的buffID	5																			消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}高级强化，增强自身所有属性抗性4点，持续60秒
123	1103	30		240000	-1	-1	法力需求	1														效果的持续时间	60000	冰火电毒6防的修改量	6	效果的buffID	5																			消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}高级强化，增强自身所有属性抗性6点，持续60秒
124	1104	30		240000	-1	-1	法力需求	1														效果的持续时间	60000	冰火电毒7防的修改量	8	效果的buffID	5																			消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}高级强化，增强自身所有属性抗性8点，持续60秒
125	1105	30		240000	-1	-1	法力需求	1														效果的持续时间	60000	冰火电毒8防的修改量	10	效果的buffID	5																			消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}高级强化，增强自身所有属性抗性10点，持续60秒
126	1106	30		240000	-1	-1	法力需求	1														效果的持续时间	60000	冰火电毒9防的修改量	12	效果的buffID	5																			消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}高级强化，增强自身所有属性抗性12点，持续60秒
127	1107	30		240000	-1	-1	法力需求	1														效果的持续时间	60000	冰火电毒10防的修改量	14	效果的buffID	5																			消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}高级强化，增强自身所有属性抗性14点，持续60秒
128	1108	30		240000	-1	-1	法力需求	1														效果的持续时间	60000	冰火电毒11防的修改量	16	效果的buffID	5																			消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}高级强化，增强自身所有属性抗性16点，持续60秒
129	1109	30		240000	-1	-1	法力需求	1														效果的持续时间	60000	冰火电毒12防的修改量	18	效果的buffID	5																			消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}高级强化，增强自身所有属性抗性18点，持续60秒
130	1110	30		240000	-1	-1	法力需求	1														效果的持续时间	60000	冰火电毒13防的修改量	20	效果的buffID	5																			消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}高级强化，增强自身所有属性抗性20点，持续60秒
131	1111	30		240000	-1	-1	法力需求	1														效果的持续时间	60000	冰火电毒14防的修改量	22	效果的buffID	5																			消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}高级强化，增强自身所有属性抗性22点，持续60秒
132	1112	30		240000	-1	-1	法力需求	1														效果的持续时间	60000	冰火电毒15防的修改量	24	效果的buffID	5																			消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}高级强化，增强自身所有属性抗性24点，持续60秒
133	1201	31		60000	-1	-1	法力需求	1														效果的持续时间	-1	效果的反射比率	3	效果生效的几率	20	效果的buffID	6																	消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}强化身手，有可能将3%的近身伤害返还给敌人{BR}{COL=FF6600}与铁布衫共同冷却时间，且不能共同作用
134	1202	31		60000	-1	-1	法力需求	1														效果的持续时间	-1	效果的反射比率	5	效果生效的几率	20	效果的buffID	6																	消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}强化身手，有可能将5%的近身伤害返还给敌人{BR}{COL=FF6600}与铁布衫共同冷却时间，且不能共同作用
135	1203	31		60000	-1	-1	法力需求	1														效果的持续时间	-1	效果的反射比率	7	效果生效的几率	20	效果的buffID	6																	消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}强化身手，有可能将7%的近身伤害返还给敌人{BR}{COL=FF6600}与铁布衫共同冷却时间，且不能共同作用
136	1204	31		60000	-1	-1	法力需求	1														效果的持续时间	-1	效果的反射比率	9	效果生效的几率	20	效果的buffID	6																	消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}强化身手，有可能将9%的近身伤害返还给敌人{BR}{COL=FF6600}与铁布衫共同冷却时间，且不能共同作用
137	1205	31		60000	-1	-1	法力需求	1														效果的持续时间	-1	效果的反射比率	11	效果生效的几率	20	效果的buffID	6																	消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}强化身手，有可能将11%的近身伤害返还给敌人{BR}{COL=FF6600}与铁布衫共同冷却时间，且不能共同作用
138	1206	31		60000	-1	-1	法力需求	1														效果的持续时间	-1	效果的反射比率	13	效果生效的几率	20	效果的buffID	6																	消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}强化身手，有可能将13%的近身伤害返还给敌人{BR}{COL=FF6600}与铁布衫共同冷却时间，且不能共同作用
139	1207	31		60000	-1	-1	法力需求	1														效果的持续时间	-1	效果的反射比率	15	效果生效的几率	20	效果的buffID	6																	消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}强化身手，有可能将15%的近身伤害返还给敌人{BR}{COL=FF6600}与铁布衫共同冷却时间，且不能共同作用
140	1208	31		60000	-1	-1	法力需求	1														效果的持续时间	-1	效果的反射比率	17	效果生效的几率	20	效果的buffID	6																	消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}强化身手，有可能将17%的近身伤害返还给敌人{BR}{COL=FF6600}与铁布衫共同冷却时间，且不能共同作用
141	1209	31		60000	-1	-1	法力需求	1														效果的持续时间	-1	效果的反射比率	19	效果生效的几率	20	效果的buffID	6																	消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}强化身手，有可能将19%的近身伤害返还给敌人{BR}{COL=FF6600}与铁布衫共同冷却时间，且不能共同作用
142	1210	31		60000	-1	-1	法力需求	1														效果的持续时间	-1	效果的反射比率	21	效果生效的几率	20	效果的buffID	6																	消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}强化身手，有可能将21%的近身伤害返还给敌人{BR}{COL=FF6600}与铁布衫共同冷却时间，且不能共同作用
143	1211	31		60000	-1	-1	法力需求	1														效果的持续时间	-1	效果的反射比率	23	效果生效的几率	20	效果的buffID	6																	消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}强化身手，有可能将23%的近身伤害返还给敌人{BR}{COL=FF6600}与铁布衫共同冷却时间，且不能共同作用
144	1212	31		60000	-1	-1	法力需求	1														效果的持续时间	-1	效果的反射比率	25	效果生效的几率	20	效果的buffID	6																	消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}强化身手，有可能将25%的近身伤害返还给敌人{BR}{COL=FF6600}与铁布衫共同冷却时间，且不能共同作用
145	1301	32		240000	-1	-1	法力需求	1														效果的持续时间	15000	效果的移动速度增加	20	效果产生的怒气驱散数量	4	效果的生效次数	1	效果的buffID	7															消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}身轻如燕，在高速运动中的第一次出手，可给敌人带来4点额外的怒气伤害，持续15秒
146	1302	32		240000	-1	-1	法力需求	1														效果的持续时间	15000	效果的移动速度增加	20	效果产生的怒气驱散数量	8	效果的生效次数	1	效果的buffID	7															消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}身轻如燕，在高速运动中的第一次出手，可给敌人带来8点额外的怒气伤害，持续15秒
147	1303	32		240000	-1	-1	法力需求	1														效果的持续时间	15000	效果的移动速度增加	20	效果产生的怒气驱散数量	12	效果的生效次数	1	效果的buffID	7															消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}身轻如燕，在高速运动中的第一次出手，可给敌人带来12点额外的怒气伤害，持续15秒
148	1304	32		240000	-1	-1	法力需求	1														效果的持续时间	15000	效果的移动速度增加	20	效果产生的怒气驱散数量	16	效果的生效次数	1	效果的buffID	7															消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}身轻如燕，在高速运动中的第一次出手，可给敌人带来16点额外的怒气伤害，持续15秒
149	1305	32		240000	-1	-1	法力需求	1														效果的持续时间	15000	效果的移动速度增加	20	效果产生的怒气驱散数量	20	效果的生效次数	1	效果的buffID	7															消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}身轻如燕，在高速运动中的第一次出手，可给敌人带来20点额外的怒气伤害，持续15秒
150	1306	32		240000	-1	-1	法力需求	1														效果的持续时间	15000	效果的移动速度增加	20	效果产生的怒气驱散数量	24	效果的生效次数	1	效果的buffID	7															消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}身轻如燕，在高速运动中的第一次出手，可给敌人带来24点额外的怒气伤害，持续15秒
151	1307	32		240000	-1	-1	法力需求	1														效果的持续时间	15000	效果的移动速度增加	20	效果产生的怒气驱散数量	28	效果的生效次数	1	效果的buffID	7															消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}身轻如燕，在高速运动中的第一次出手，可给敌人带来28点额外的怒气伤害，持续15秒
152	1308	32		240000	-1	-1	法力需求	1														效果的持续时间	15000	效果的移动速度增加	20	效果产生的怒气驱散数量	32	效果的生效次数	1	效果的buffID	7															消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}身轻如燕，在高速运动中的第一次出手，可给敌人带来32点额外的怒气伤害，持续15秒
153	1309	32		240000	-1	-1	法力需求	1														效果的持续时间	15000	效果的移动速度增加	20	效果产生的怒气驱散数量	36	效果的生效次数	1	效果的buffID	7															消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}身轻如燕，在高速运动中的第一次出手，可给敌人带来36点额外的怒气伤害，持续15秒
154	1310	32		240000	-1	-1	法力需求	1														效果的持续时间	15000	效果的移动速度增加	20	效果产生的怒气驱散数量	40	效果的生效次数	1	效果的buffID	7															消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}身轻如燕，在高速运动中的第一次出手，可给敌人带来40点额外的怒气伤害，持续15秒
155	1311	32		240000	-1	-1	法力需求	1														效果的持续时间	15000	效果的移动速度增加	20	效果产生的怒气驱散数量	44	效果的生效次数	1	效果的buffID	7															消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}身轻如燕，在高速运动中的第一次出手，可给敌人带来4点额外的怒气伤害，持续15秒
156	1312	32		240000	-1	-1	法力需求	1														效果的持续时间	15000	效果的移动速度增加	20	效果产生的怒气驱散数量	48	效果的生效次数	1	效果的buffID	7															消耗气：1点{BR}瞬间释放{BR}冷却时间：4分钟{BR}身轻如燕，在高速运动中的第一次出手，可给敌人带来44点额外的怒气伤害，持续15秒
157	1401	33		60000	-1	-1	法力需求	1														效果的伤害放大率(%)	200	效果的生效次数限制	1	效果的buffID	8																			消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}聚集力气，下一次攻击伤害放大至200%
158	1402	33		60000	-1	-1	法力需求	1														效果的伤害放大率(%)	200	效果的生效次数限制	1	效果的buffID	8																			消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}聚集力气，下一次攻击伤害放大至200%
159	1403	33		60000	-1	-1	法力需求	1														效果的伤害放大率(%)	200	效果的生效次数限制	1	效果的buffID	8																			消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}聚集力气，下一次攻击伤害放大至200%
160	1404	33		60000	-1	-1	法力需求	1														效果的伤害放大率(%)	200	效果的生效次数限制	1	效果的buffID	8																			消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}聚集力气，下一次攻击伤害放大至200%
161	1405	33		60000	-1	-1	法力需求	1														效果的伤害放大率(%)	200	效果的生效次数限制	1	效果的buffID	8																			消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}聚集力气，下一次攻击伤害放大至200%
162	1406	33		60000	-1	-1	法力需求	1														效果的伤害放大率(%)	200	效果的生效次数限制	1	效果的buffID	8																			消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}聚集力气，下一次攻击伤害放大至200%
163	1407	33		60000	-1	-1	法力需求	1														效果的伤害放大率(%)	200	效果的生效次数限制	1	效果的buffID	8																			消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}聚集力气，下一次攻击伤害放大至200%
164	1408	33		60000	-1	-1	法力需求	1														效果的伤害放大率(%)	200	效果的生效次数限制	1	效果的buffID	8																			消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}聚集力气，下一次攻击伤害放大至200%
165	1409	33		60000	-1	-1	法力需求	1														效果的伤害放大率(%)	200	效果的生效次数限制	1	效果的buffID	8																			消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}聚集力气，下一次攻击伤害放大至200%
166	1410	33		60000	-1	-1	法力需求	1														效果的伤害放大率(%)	200	效果的生效次数限制	1	效果的buffID	8																			消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}聚集力气，下一次攻击伤害放大至200%
167	1411	33		60000	-1	-1	法力需求	1														效果的伤害放大率(%)	200	效果的生效次数限制	1	效果的buffID	8																			消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}聚集力气，下一次攻击伤害放大至200%
168	1412	33		60000	-1	-1	法力需求	1														效果的伤害放大率(%)	200	效果的生效次数限制	1	效果的buffID	8																			消耗气：1点{BR}瞬间释放{BR}冷却时间：60秒{BR}聚集力气，下一次攻击伤害放大至200%
169	1501	34		1300	-1	-1	怒气需求(%)	50														效果的持续时间	15000	受效果影响的技能的ID	1	对受影响技能攻击强度的放大率	150	效果的buffID	9																	消耗怒：50%{BR}瞬间释放{BR}默念伏虎拳要诀，将伏虎拳的威力以1.5倍发挥出来，持续15秒
170	1601	35		1300	-1	-1	怒气需求(%)	50														效果的持续时间	15000	受效果影响的技能的ID	6	受效果影响的效果的buffID	1	影响的百分率	300	生效次数上限	1	效果的buffID	10													消耗怒：50%{BR}瞬间释放{BR}领会韦陀杵精髓，15秒内，第一次使用韦陀杵会使伤口溃烂程度严重3倍
171	1701	36		1300	-1	-1	怒气需求(%)	100														效果持续时间	30000	效果的伤害免疫百分比(%)	50	效果的buffID	11																			消耗怒：100%{BR}瞬间释放{BR}佛门无上神功，可将一半的伤害化为无形，持续30秒
