INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
71	155	136	0	0	0	0	233	0	58	0	292	0	0	0	0	292	0	0	0	0	0	292	0	0	0	0	136	155	0	0	155	0	0	136	0	0	0	155	136	0	97	0	194	0	0	0	0	0	292	0	155	0	0	136	0	0	0	233	58	0	136	0	155	0	0	0	0	194	97	0	97	0	0	194	0	0	136	155	0	0	73	73	73	73	0
72	157	138	0	0	0	0	236	0	59	0	296	0	0	0	0	296	0	0	0	0	0	296	0	0	0	0	138	157	0	0	157	0	0	138	0	0	0	157	138	0	98	0	197	0	0	0	0	0	296	0	157	0	0	138	0	0	0	236	59	0	138	0	157	0	0	0	0	197	98	0	98	0	0	197	0	0	138	157	0	0	74	74	74	74	0
73	160	140	0	0	0	0	240	0	60	0	300	0	0	0	0	300	0	0	0	0	0	300	0	0	0	0	140	160	0	0	160	0	0	140	0	0	0	160	140	0	100	0	200	0	0	0	0	0	300	0	160	0	0	140	0	0	0	240	60	0	140	0	160	0	0	0	0	200	100	0	100	0	0	200	0	0	140	160	0	0	75	75	75	75	0
74	162	141	0	0	0	0	243	0	60	0	304	0	0	0	0	304	0	0	0	0	0	304	0	0	0	0	141	162	0	0	162	0	0	141	0	0	0	162	141	0	101	0	202	0	0	0	0	0	304	0	162	0	0	141	0	0	0	243	60	0	141	0	162	0	0	0	0	202	101	0	101	0	0	202	0	0	141	162	0	0	76	76	76	76	0
75	164	143	0	0	0	0	246	0	61	0	308	0	0	0	0	308	0	0	0	0	0	308	0	0	0	0	143	164	0	0	164	0	0	143	0	0	0	164	143	0	102	0	205	0	0	0	0	0	308	0	164	0	0	143	0	0	0	246	61	0	143	0	164	0	0	0	0	205	102	0	102	0	0	205	0	0	143	164	0	0	77	77	77	77	0
76	166	145	0	0	0	0	249	0	62	0	312	0	0	0	0	312	0	0	0	0	0	312	0	0	0	0	145	166	0	0	166	0	0	145	0	0	0	166	145	0	104	0	208	0	0	0	0	0	312	0	166	0	0	145	0	0	0	249	62	0	145	0	166	0	0	0	0	208	104	0	104	0	0	208	0	0	145	166	0	0	78	78	78	78	0
77	168	147	0	0	0	0	252	0	63	0	316	0	0	0	0	316	0	0	0	0	0	316	0	0	0	0	147	168	0	0	168	0	0	147	0	0	0	168	147	0	105	0	210	0	0	0	0	0	316	0	168	0	0	147	0	0	0	252	63	0	147	0	168	0	0	0	0	210	105	0	105	0	0	210	0	0	147	168	0	0	79	79	79	79	0
78	170	149	0	0	0	0	256	0	64	0	320	0	0	0	0	320	0	0	0	0	0	320	0	0	0	0	149	170	0	0	170	0	0	149	0	0	0	170	149	0	106	0	213	0	0	0	0	0	320	0	170	0	0	149	0	0	0	256	64	0	149	0	170	0	0	0	0	213	106	0	106	0	0	213	0	0	149	170	0	0	80	80	80	80	0
79	172	151	0	0	0	0	259	0	64	0	324	0	0	0	0	324	0	0	0	0	0	324	0	0	0	0	151	172	0	0	172	0	0	151	0	0	0	172	151	0	108	0	216	0	0	0	0	0	324	0	172	0	0	151	0	0	0	259	64	0	151	0	172	0	0	0	0	216	108	0	108	0	0	216	0	0	151	172	0	0	81	81	81	81	0
80	174	153	0	0	0	0	262	0	65	0	328	0	0	0	0	328	0	0	0	0	0	328	0	0	0	0	153	174	0	0	174	0	0	153	0	0	0	174	153	0	109	0	218	0	0	0	0	0	328	0	174	0	0	153	0	0	0	262	65	0	153	0	174	0	0	0	0	218	109	0	109	0	0	218	0	0	153	174	0	0	82	82	82	82	0
81	177	154	0	0	0	0	265	0	66	0	332	0	0	0	0	332	0	0	0	0	0	332	0	0	0	0	154	177	0	0	177	0	0	154	0	0	0	177	154	0	110	0	221	0	0	0	0	0	332	0	177	0	0	154	0	0	0	265	66	0	154	0	177	0	0	0	0	221	110	0	110	0	0	221	0	0	154	177	0	0	83	83	83	83	0
82	179	156	0	0	0	0	268	0	67	0	336	0	0	0	0	336	0	0	0	0	0	336	0	0	0	0	156	179	0	0	179	0	0	156	0	0	0	179	156	0	112	0	224	0	0	0	0	0	336	0	179	0	0	156	0	0	0	268	67	0	156	0	179	0	0	0	0	224	112	0	112	0	0	224	0	0	156	179	0	0	84	84	84	84	0
83	181	158	0	0	0	0	272	0	68	0	340	0	0	0	0	340	0	0	0	0	0	340	0	0	0	0	158	181	0	0	181	0	0	158	0	0	0	181	158	0	113	0	226	0	0	0	0	0	340	0	181	0	0	158	0	0	0	272	68	0	158	0	181	0	0	0	0	226	113	0	113	0	0	226	0	0	158	181	0	0	85	85	85	85	0
84	183	160	0	0	0	0	275	0	68	0	344	0	0	0	0	344	0	0	0	0	0	344	0	0	0	0	160	183	0	0	183	0	0	160	0	0	0	183	160	0	114	0	229	0	0	0	0	0	344	0	183	0	0	160	0	0	0	275	68	0	160	0	183	0	0	0	0	229	114	0	114	0	0	229	0	0	160	183	0	0	86	86	86	86	0
85	185	162	0	0	0	0	278	0	69	0	348	0	0	0	0	348	0	0	0	0	0	348	0	0	0	0	162	185	0	0	185	0	0	162	0	0	0	185	162	0	116	0	232	0	0	0	0	0	348	0	185	0	0	162	0	0	0	278	69	0	162	0	185	0	0	0	0	232	116	0	116	0	0	232	0	0	162	185	0	0	87	87	87	87	0
86	187	164	0	0	0	0	281	0	70	0	352	0	0	0	0	352	0	0	0	0	0	352	0	0	0	0	164	187	0	0	187	0	0	164	0	0	0	187	164	0	117	0	234	0	0	0	0	0	352	0	187	0	0	164	0	0	0	281	70	0	164	0	187	0	0	0	0	234	117	0	117	0	0	234	0	0	164	187	0	0	88	88	88	88	0
87	189	166	0	0	0	0	284	0	71	0	356	0	0	0	0	356	0	0	0	0	0	356	0	0	0	0	166	189	0	0	189	0	0	166	0	0	0	189	166	0	118	0	237	0	0	0	0	0	356	0	189	0	0	166	0	0	0	284	71	0	166	0	189	0	0	0	0	237	118	0	118	0	0	237	0	0	166	189	0	0	89	89	89	89	0
88	192	168	0	0	0	0	288	0	72	0	360	0	0	0	0	360	0	0	0	0	0	360	0	0	0	0	168	192	0	0	192	0	0	168	0	0	0	192	168	0	120	0	240	0	0	0	0	0	360	0	192	0	0	168	0	0	0	288	72	0	168	0	192	0	0	0	0	240	120	0	120	0	0	240	0	0	168	192	0	0	90	90	90	90	0
89	194	169	0	0	0	0	291	0	72	0	364	0	0	0	0	364	0	0	0	0	0	364	0	0	0	0	169	194	0	0	194	0	0	169	0	0	0	194	169	0	121	0	242	0	0	0	0	0	364	0	194	0	0	169	0	0	0	291	72	0	169	0	194	0	0	0	0	242	121	0	121	0	0	242	0	0	169	194	0	0	91	91	91	91	0
90	196	171	0	0	0	0	294	0	73	0	368	0	0	0	0	368	0	0	0	0	0	368	0	0	0	0	171	196	0	0	196	0	0	171	0	0	0	196	171	0	122	0	245	0	0	0	0	0	368	0	196	0	0	171	0	0	0	294	73	0	171	0	196	0	0	0	0	245	122	0	122	0	0	245	0	0	171	196	0	0	92	92	92	92	0
91	198	173	0	0	0	0	297	0	74	0	372	0	0	0	0	372	0	0	0	0	0	372	0	0	0	0	173	198	0	0	198	0	0	173	0	0	0	198	173	0	124	0	248	0	0	0	0	0	372	0	198	0	0	173	0	0	0	297	74	0	173	0	198	0	0	0	0	248	124	0	124	0	0	248	0	0	173	198	0	0	93	93	93	93	0
92	200	175	0	0	0	0	300	0	75	0	376	0	0	0	0	376	0	0	0	0	0	376	0	0	0	0	175	200	0	0	200	0	0	175	0	0	0	200	175	0	125	0	250	0	0	0	0	0	376	0	200	0	0	175	0	0	0	300	75	0	175	0	200	0	0	0	0	250	125	0	125	0	0	250	0	0	175	200	0	0	94	94	94	94	0
93	202	177	0	0	0	0	304	0	76	0	380	0	0	0	0	380	0	0	0	0	0	380	0	0	0	0	177	202	0	0	202	0	0	177	0	0	0	202	177	0	126	0	253	0	0	0	0	0	380	0	202	0	0	177	0	0	0	304	76	0	177	0	202	0	0	0	0	253	126	0	126	0	0	253	0	0	177	202	0	0	95	95	95	95	0
94	204	179	0	0	0	0	307	0	76	0	384	0	0	0	0	384	0	0	0	0	0	384	0	0	0	0	179	204	0	0	204	0	0	179	0	0	0	204	179	0	128	0	256	0	0	0	0	0	384	0	204	0	0	179	0	0	0	307	76	0	179	0	204	0	0	0	0	256	128	0	128	0	0	256	0	0	179	204	0	0	96	96	96	96	0
95	206	181	0	0	0	0	310	0	77	0	388	0	0	0	0	388	0	0	0	0	0	388	0	0	0	0	181	206	0	0	206	0	0	181	0	0	0	206	181	0	129	0	258	0	0	0	0	0	388	0	206	0	0	181	0	0	0	310	77	0	181	0	206	0	0	0	0	258	129	0	129	0	0	258	0	0	181	206	0	0	97	97	97	97	0
96	209	182	0	0	0	0	313	0	78	0	392	0	0	0	0	392	0	0	0	0	0	392	0	0	0	0	182	209	0	0	209	0	0	182	0	0	0	209	182	0	130	0	261	0	0	0	0	0	392	0	209	0	0	182	0	0	0	313	78	0	182	0	209	0	0	0	0	261	130	0	130	0	0	261	0	0	182	209	0	0	98	98	98	98	0
97	211	184	0	0	0	0	316	0	79	0	396	0	0	0	0	396	0	0	0	0	0	396	0	0	0	0	184	211	0	0	211	0	0	184	0	0	0	211	184	0	132	0	264	0	0	0	0	0	396	0	211	0	0	184	0	0	0	316	79	0	184	0	211	0	0	0	0	264	132	0	132	0	0	264	0	0	184	211	0	0	99	99	99	99	0
98	213	186	0	0	0	0	320	0	80	0	400	0	0	0	0	400	0	0	0	0	0	400	0	0	0	0	186	213	0	0	213	0	0	186	0	0	0	213	186	0	133	0	266	0	0	0	0	0	400	0	213	0	0	186	0	0	0	320	80	0	186	0	213	0	0	0	0	266	133	0	133	0	0	266	0	0	186	213	0	0	100	100	100	100	0
99	215	188	0	0	0	0	323	0	80	0	404	0	0	0	0	404	0	0	0	0	0	404	0	0	0	0	188	215	0	0	215	0	0	188	0	0	0	215	188	0	134	0	269	0	0	0	0	0	404	0	215	0	0	188	0	0	0	323	80	0	188	0	215	0	0	0	0	269	134	0	134	0	0	269	0	0	188	215	0	0	101	101	101	101	0
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
