INT	STRING
404826	\item\normal\item_normal_4826.lua
404827	\item\normal\item_normal_4827.lua
404831	\item\normal\item_normal_4831.lua
404832	\item\normal\item_normal_4832.lua
404833	\item\normal\item_normal_4833.lua
404834	\item\normal\item_normal_4834.lua
404836	\item\normal\item_normal_4836.lua
404837	\item\normal\item_normal_4837.lua
404838	\item\normal\item_normal_4838.lua
404839	\item\normal\item_normal_4839.lua
404840	\item\normal\item_normal_4840.lua
404841	\item\normal\item_normal_4841.lua
#	;任务物品（
413000	\item\quest\item_quest_413000.lua
#	宝箱
414001	\item\normal\item_normal_14001.lua
414002	\item\normal\item_normal_14002.lua
414003	\item\normal\item_normal_14003.lua
414004	\item\normal\item_normal_14004.lua
414005	\item\normal\item_normal_14005.lua
414006	\item\normal\item_normal_14006.lua
414007	\item\normal\item_normal_14007.lua
414008	\item\normal\item_normal_14008.lua
414009	\item\normal\item_normal_14009.lua
414010	\item\normal\item_normal_14010.lua
#	;事件区域脚本
500700	\area\yehuling\area_yehuling_0.lua
#	;副本脚本
#	;怪兽总动员
700000	\quest\fengxiang\quest_fengxiang_monsterparty.lua
700001	\common\fuben\fuben_junyaoyaokou.lua
700002	\common\fuben\fuben_goulanqutai.lua
700003	\common\fuben\fuben_huocaishendian.lua
700004	\common\fuben\fuben_01.lua
700101	\common\fuben\fuben_02.lua
700102	\common\fuben\fuben_mantuoshanzhuang.lua
#	;程序调用脚
800000	\common\equip\common_equip_dakong.lua
800001	\common\equip\common_equip_bangding.lua
800002	\common\equip\common_equip_SpecialRepair.lua
800003	\common\equip\common_equip_booth.lua
800004	\common\equip\common_equip_equipsynthesize.lua
800005	\common\equip\common_equip_EquipDismantle.lua
800006	\common\hunyin\common_hunyin_jiehun.lua
800007	\common\hunyin\common_hunyin_lihun.lua
800008	\common\hunyin\common_hunyin_qiangzhilihun.lua
800009	\common\shitu\common_shitu_baishi.lua
800010	\common\shitu\common_shitu_chushi.lua
800011	\common\shitu\common_shitu_zhuchushimen.lua
800012	\common\shitu\common_shitu_panshi.lua
800013	\common\horse\common_horse_skillstudy.lua
800014	\common\horse\common_horse_jiaopei.lua
800015	\common\horse\common_horse_huantong.lua
800016	\common\equip\common_equip_swapequipcard.lua
800017	\common\equip\common_equip_changeequipcard.lua
800018	\common\horse\common_horse_chengzhanglv.lua
800019	\common\chuansong\common_chuansong_normal.lua
800020	\common\horse\common_horse_linghui.lua
800021	\common\chuansong\common_chuansong_scenemap.lua
800022	\common\country\common_country_view.lua
800023	\common\country\common_country_manage.lua
800024	\common\country\common_country_createking.lua
800025	\common\dailian\common_dailian_exprate.lua
800026	\common\dailian\common_dailian_moneyrate.lua
888888	scene.lua
888889	\mail.lua
#	下面开始我们自己的Script了
#	"第一批是测试用Script,仅供内部测试使用"
900000	\obj\fengxiang\npc_fengxiang_teimuzhen.lua
900001	\obj\fengxiang\npc_fengxiang_subutai.lua
900002	\obj\fengxiang\npc_fengxiang_zhamuhe.lua
900003	\obj\fengxiang\npc_fengxiang_zhebie.lua
900004	\obj\fengxiang\dialog_fengxiang_teimuzhen.lua
910000	\quest\fengxiang\quest_fengxiang_riben.lua
910001	\quest\fengxiang\quest_fengxiang_mieliqi.lua
910002	\quest\fengxiang\quest_fengxiang_kelie.lua
910003	\quest\fengxiang\quest_fengxiang_jinbing.lua
910004	\quest\fengxiang\quest_fengxiang_bosi.lua
910005	\quest\fengxiang\quest_fengxiang_boss1.lua
910006	\quest\fengxiang\quest_fengxiang_boss2.lua
910007	\quest\fengxiang\quest_fengxiang_boss3.lua
910008	\quest\fengxiang\quest_fengxiang_boss4.lua
910009	\quest\fengxiang\quest_fengxiang_boss10.lua
910010	\quest\fengxiang\quest_fengxiang_songxin.lua
910011	\quest\fengxiang\quest_fengxiang_shouji.lua
910012	\quest\fengxiang\quest_fengxiang_wushi.lua
910013	\quest\fengxiang\quest_fengxiang_saman.lua
910014	\quest\fengxiang\quest_fengxiang_xianzhi.lua
910015	\quest\fengxiang\quest_fengxiang_zhiye.lua
910016	\quest\fengxiang\quest_fengxiang_huoqiangshou.lua
910017	\quest\fengxiang\quest_fengxiang_qisheshou.lua
910018	\quest\fengxiang\quest_fengxiang_jianxia.lua
910019	\quest\fengxiang\quest_fengxiang_guaiwuzhenying.lua
910020	\quest\fengxiang\quest_fengxiang_wanjiazhenying.lua
920000	\growpoint\fengxiang\growpoint_fengxiang_0.lua
920001	\quest\taohuadao\quest_taohuadao_huoDongCeShi.lua
930000	\area\fengxiang\area_fengxiang_0.lua
930001	\area\fengxiang\area_fengxiang_1.lua
910111	\quest\fengxiang\guildoperation.lua
950000	\getitem\getitem_clearbag.lua
950001	\getitem\getitem_getgreenequip.lua
950002	\getitem\getitem_getblueequip.lua
950003	\getitem\getitem_getpurpleequip.lua
950004	\getitem\getitem_getgoldequip.lua
950005	\getitem\getitem_getotherequip.lua
950006	\getitem\getitem_getweapon_1.lua
950007	\getitem\getitem_getweapon_2.lua
950008	\getitem\getitem_getweapon_3.lua
950009	\getitem\getitem_getweapon_4.lua
950010	\getitem\getitem_getitem.lua
960001	\quest\taohuadao\quest_taohuadao_kaoyan1.lua
960002	\quest\taohuadao\quest_taohuadao_shifudezhutuo.lua
960003	\quest\taohuadao\quest_taohuadao_kaoyan2.lua
960004	\quest\taohuadao\quest_taohuadao_baifang.lua
970000	\quest\xinshoucun\quest_xinshoucun_lvxingkaishi.lua
970001	\quest\xinshoucun\quest_xinshoucun_jiadian.lua
970002	\quest\xinshoucun\quest_xinshoucun_cunzhangduihua.lua
970003	\quest\xinshoucun\quest_xinshoucun_xinyifu.lua
970004	\quest\xinshoucun\quest_xinshoucun_chuanshangyifu.lua
970005	\quest\xinshoucun\quest_xinshoucun_wuqi.lua
970006	\quest\xinshoucun\quest_xinshoucun_shouchiwuqi.lua
970007	\quest\xinshoucun\quest_xinshoucun_jiumingzhiyao.lua
970008	\quest\xinshoucun\quest_xinshoucun_yongyao.lua
970009	\quest\xinshoucun\quest_xinshoucun_fushudecangku.lua
970010	\quest\xinshoucun\quest_xinshoucun_cunzidemafan.lua
970011	\quest\xinshoucun\quest_xinshoucun_wugongqiantan.lua
970012	\quest\xinshoucun\quest_xinshoucun_taopaodezhu.lua
970013	\quest\xinshoucun\quest_xinshoucun_cunzhangdexin.lua
970014	\quest\xinshoucun\quest_xinshoucun_tanwangduolong.lua
970015	\quest\xinshoucun\quest_xinshoucun_pozaimeijie.lua
970016	\quest\xinshoucun\quest_xinshoucun_pozaimeijie2.lua
970017	\quest\xinshoucun\quest_xinshoucun_souxialu.lua
970018	\quest\xinshoucun\quest_xinshoucun_dabaobuping.lua
970019	\quest\xinshoucun\quest_xinshoucun_zaoyuqiangdi.lua
970020	\quest\xinshoucun\quest_xinshoucun_duolongdenanti.lua
970021	\quest\xinshoucun\quest_xinshoucun_chuansongchefu.lua
999998	\quest\xinshoucun\quest_xinshoucun_zhaocunzhang.lua
999999	\quest\xinshoucun\quest_xinshoucun_chuansong.lua
#	苏州
100000	\quest\suzhou\quest_suzhou_chuansong1.lua
100001	\quest\suzhou\quest_suzhou_menpai.lua
100002	\quest\suzhou\quest_suzhou_menpaizhiyin.lua
100003	\quest\suzhou\quest_suzhou_jiarumenpai.lua
100004	\quest\suzhou\quest_suzhou_dashixiong.lua
100005	\quest\suzhou\quest_suzhou_fushiming.lua
100006	\quest\suzhou\quest_suzhou_baishiguilai.lua
100007	\quest\suzhou\quest_suzhou_daxing.lua
100008	\quest\suzhou\quest_suzhou_shengxing.lua
100009	\quest\suzhou\quest_suzhou_dakong.lua
100010	\quest\suzhou\quest_suzhou_dakongjiaoxue.lua
100011	\quest\suzhou\quest_suzhou_xiuli.lua
100012	\quest\suzhou\quest_suzhou_xiulijiaoxue.lua
100013	\quest\suzhou\quest_suzhou_linghun.lua
100014	\quest\suzhou\quest_suzhou_linghunjiaoxue.lua
100015	\quest\suzhou\quest_suzhou_daoyou.lua
100016	\quest\suzhou\quest_suzhou_bingqi.lua
100017	\quest\suzhou\quest_suzhou_kaijia.lua
100018	\quest\suzhou\quest_suzhou_maiyao.lua
100019	\quest\suzhou\quest_suzhou_zahuo.lua
100020	\quest\suzhou\quest_suzhou_jiezhi.lua
100021	\quest\suzhou\quest_suzhou_cailiao.lua
100022	\quest\suzhou\quest_suzhou_xingongfu.lua
100023	\quest\suzhou\quest_suzhou_zhaohuan.lua
100024	\quest\suzhou\quest_suzhou_jiuren.lua
100025	\quest\suzhou\quest_suzhou_fengbopingjing.lua
100026	\quest\suzhou\quest_suzhou_fanhui.lua
100027	\quest\suzhou\quest_suzhou_taohuadao.lua
199998	\quest\suzhou\quest_suzhou_nanhu.lua
199999	\quest\suzhou\quest_suzhou_jieshao.lua
200000	\quest\suzhou\quest_suzhou_chuansong2.lua
#	南湖
110001	\quest\nanhu\quest_nanhu_xunren.lua
110002	\quest\nanhu\quest_nanhu_qiguai.lua
110003	\quest\nanhu\quest_nanhu_jiewei.lua
110004	\quest\nanhu\quest_nanhu_jiukun.lua
#	搜侠录
500001	\common\souxialu\chaijie.lua
500002	\common\souxialu\lianhua.lua
500003	\common\souxialu\fenghe.lua
500004	\common\souxialu\xiaohui.lua
#	炼化装备
500005	\common\equip\common_equip_refining.lua
#	装备附魔
500010	\common\equip\common_equip_Fumo.lua
#	装备退魔
500011	\common\equip\common_equip_Tuimo.lua
#	生活技能
510001	\common\LifeAbility\LifeSkillStudy_caikuang.lua
510002	\common\LifeAbility\LifeSkillStudy_shouge.lua
510003	\common\LifeAbility\LifeSkillStudy_buzhuo.lua
510004	\common\LifeAbility\LifeSkillStudy_zhuzao.lua
510005	\common\LifeAbility\LifeSkillStudy_zhiyi.lua
510006	\common\LifeAbility\LifeSkillStudy_gongjiang.lua
510007	\common\LifeAbility\LifeSkillStudy_pengren.lua
520001	\common\LifeAbility\LifeSkill_zhuzao.lua
520002	\common\LifeAbility\LifeSkill_zhiyi.lua
520003	\common\LifeAbility\LifeSkill_gongjiang.lua
520004	\common\LifeAbility\LifeSkill_pengren.lua
#服务器	生活技能
701601	\ability\cp_abilitylogic.lua
713501	\ability\eshiyongpeifang.lua
